Date,Flow(cfs)
11/30/2023,33
12/1/2023,31
12/2/2023,30
12/3/2023,30
12/4/2023,33
12/5/2023,31
12/6/2023,31
12/7/2023,32
12/8/2023,30
12/9/2023,30
12/10/2023,30
12/11/2023,32
12/12/2023,238
12/13/2023,31
12/14/2023,30
12/15/2023,30
12/16/2023,28
12/17/2023,28
12/18/2023,29
12/19/2023,29
12/20/2023,29
12/21/2023,29
12/22/2023,31
12/23/2023,30
12/24/2023,30
12/25/2023,30
12/26/2023,30
12/27/2023,31
12/28/2023,30
12/29/2023,29
12/30/2023,29
12/31/2023,28
1/1/2024,1614
