Date,SPL_OUT,FKC_OUT,MC_OUT,SJR_OUT,M_IN,MIL_EVAP
1/1/2022,0,1995,605,140,1909,5.52
1/2/2022,0,2059,605,150,1849,4.96
1/3/2022,0,2198,628,150,1716,8.23
1/4/2022,0,2333,662,149,342,9.41
1/5/2022,0,2371,670,148,669,6.71
1/6/2022,0,2400,670,146,657,0.64
1/7/2022,0,2409,667,147,605,4.59
1/8/2022,0,2381,665,150,891,7.04
1/9/2022,0,2375,664,152,1076,12.67
1/10/2022,0,2243,663,152,631,0.82
1/11/2022,0,2207,651,151,491,7.55
1/12/2022,0,1721,645,150,703,9.07
1/13/2022,0,1544,642,150,1067,0.91
1/14/2022,0,1301,642,149,1075,2.09
1/15/2022,0,1090,641,149,903,4.90
1/16/2022,0,1044,641,148,883,13.99
1/17/2022,0,1191,637,149,965,5.81
1/18/2022,0,1149,635,149,813,10.93
1/19/2022,0,1213,641,147,872,3.03
1/20/2022,0,1224,649,149,872,2.30
1/21/2022,0,957,648,150,753,9.33
1/22/2022,0,746,648,150,849,10.08
1/23/2022,0,649,648,150,722,6.99
1/24/2022,0,713,648,149,853,8.13
1/25/2022,0,758,648,148,882,18.82
1/26/2022,0,698,649,137,861,10.89
1/27/2022,0,652,613,100,543,16.65
1/28/2022,0,599,475,100,569,10.15
1/29/2022,0,554,425,100,830,10.72
1/30/2022,0,636,395,100,935,2.07
1/31/2022,0,731,372,100,1015,6.93
2/1/2022,0,780,351,100,1428,7.72
2/2/2022,0,796,346,100,1405,8.44
2/3/2022,0,766,346,100,1531,11.22
2/4/2022,0,686,346,100,936,6.50
2/5/2022,0,614,347,100,947,11.08
2/6/2022,0,593,346,100,981,10.50
2/7/2022,0,865,314,100,806,19.13
2/8/2022,0,987,295,100,782,20.44
2/9/2022,0,907,285,100,353,24.19
2/10/2022,0,850,287,100,272,15.26
2/11/2022,0,683,287,100,269,23.82
2/12/2022,0,535,287,100,606,22.17
2/13/2022,0,642,287,100,1153,11.36
2/14/2022,0,781,287,100,774,10.26
2/15/2022,0,903,295,100,431,10.55
2/16/2022,0,1055,300,100,976,25.24
2/17/2022,0,980,300,100,1439,18.80
2/18/2022,0,881,300,100,1688,21.86
2/19/2022,0,770,300,100,1816,8.25
2/20/2022,0,895,300,100,1455,11.54
2/21/2022,0,1048,300,100,1274,8.42
2/22/2022,0,1227,300,100,1585,11.40
2/23/2022,0,1352,321,100,1919,14.08
2/24/2022,0,1325,500,403,1871,13.76
2/25/2022,0,945,500,503,1810,-384.42
2/26/2022,0,986,300,100,1626,36.60
2/27/2022,0,532,399,100,1422,20.20
2/28/2022,0,227,474,100,1041,6.61
3/1/2022,0,72,500,148,1016,60.45
3/2/2022,0,72,500,148,1154,18.69
3/3/2022,0,77,500,181,1542,7.33
3/4/2022,0,58,500,201,545,2.69
3/5/2022,0,68,500,167,1078,22.66
3/6/2022,0,49,500,151,1613,15.08
3/7/2022,0,105,500,142,1722,18.53
3/8/2022,0,64,500,131,1680,26.88
3/9/2022,0,106,500,131,1628,5.55
3/10/2022,0,0,500,131,1417,49.87
3/11/2022,0,0,500,131,1427,18.36
3/12/2022,0,0,500,131,1575,21.17
3/13/2022,0,0,500,132,1300,15.79
3/14/2022,0,84,500,132,1364,19.29
3/15/2022,0,101,500,100,1231,16.99
3/16/2022,0,100,480,100,820,26.93
3/17/2022,0,117,480,100,1340,19.56
3/18/2022,0,100,480,100,1480,10.29
3/19/2022,0,100,481,100,1988,14.42
3/20/2022,0,100,483,100,1555,17.56
3/21/2022,0,132,500,116,1123,24.10
3/22/2022,0,149,500,162,1067,38.80
3/23/2022,0,149,500,162,1785,8.96
3/24/2022,0,165,500,162,1628,34.09
3/25/2022,0,165,500,162,1821,24.43
3/26/2022,0,165,500,171,1658,36.98
3/27/2022,0,164,500,178,1006,7.42
3/28/2022,0,164,500,179,1708,15.82
3/29/2022,0,131,500,179,1757,17.42
3/30/2022,0,114,500,180,2577,10.62
3/31/2022,0,98,500,180,2529,18.83
4/1/2022,0,130,500,297,2783,26.29
4/2/2022,0,130,500,432,2507,24.33
4/3/2022,0,129,500,432,2379,27.81
4/4/2022,0,194,500,469,2547,35.09
4/5/2022,0,209,500,495,2320,25.86
4/6/2022,0,234,500,565,2312,42.53
4/7/2022,0,260,500,601,2492,44.51
4/8/2022,0,193,500,602,2431,48.43
4/9/2022,0,159,500,604,2292,33.13
4/10/2022,0,158,500,604,2008,0.74
4/11/2022,0,229,500,556,2467,34.03
4/12/2022,0,235,500,499,2356,8.33
4/13/2022,0,235,500,500,1809,46.05
4/14/2022,0,189,500,501,1899,26.24
4/15/2022,0,189,500,501,2157,14.59
4/16/2022,0,110,500,503,1481,39.92
4/17/2022,0,110,500,503,1408,29.76
4/18/2022,0,110,500,503,2384,33.39
4/19/2022,0,204,500,504,1439,22.75
4/20/2022,0,219,500,504,1641,18.90
4/21/2022,0,157,500,558,1550,24.95
4/22/2022,0,125,500,598,1861,14.78
4/23/2022,0,78,500,655,1941,42.12
4/24/2022,0,109,500,696,2001,40.33
4/25/2022,0,156,500,697,2567,42.13
4/26/2022,0,171,500,699,2549,32.23
4/27/2022,0,156,500,700,2150,35.88
4/28/2022,0,139,500,702,1939,34.04
4/29/2022,0,185,500,762,2023,45.21
4/30/2022,0,185,500,803,1935,35.85
5/1/2022,0,185,500,803,1726,35.18
5/2/2022,0,293,500,804,2097,48.20
5/3/2022,0,370,500,804,1702,52.69
5/4/2022,0,278,500,804,2221,55.87
5/5/2022,0,138,500,867,1884,46.52
5/6/2022,0,185,500,899,1934,54.70
5/7/2022,0,185,500,965,1806,30.53
5/8/2022,0,185,500,998,1531,35.52
5/9/2022,0,246,500,998,1901,53.00
5/10/2022,0,215,500,998,2254,37.35
5/11/2022,0,214,500,998,1892,41.14
5/12/2022,0,153,500,999,2405,42.01
5/13/2022,0,153,500,999,1999,43.86
5/14/2022,0,153,500,999,1716,54.81
5/15/2022,0,153,500,1000,2340,51.29
5/16/2022,0,245,500,1000,2370,53.18
5/17/2022,0,243,500,1001,1961,32.75
5/18/2022,0,243,500,1001,1326,32.55
5/19/2022,0,214,500,1000,1501,46.23
5/20/2022,0,153,500,1000,1433,51.14
5/21/2022,0,153,500,1000,2175,52.73
5/22/2022,0,153,500,1001,2833,41.37
5/23/2022,0,287,500,1043,1769,79.13
5/24/2022,0,359,500,1100,1485,58.44
5/25/2022,0,453,500,1100,1579,51.74
5/26/2022,0,453,500,1099,1776,47.55
5/27/2022,0,311,500,1099,1713,46.56
5/28/2022,0,245,500,1099,1585,38.89
5/29/2022,0,214,500,1098,1505,50.89
5/30/2022,0,275,500,1098,1639,44.06
5/31/2022,0,495,500,1097,1709,34.04
6/1/2022,0,480,500,1097,1928,69.88
6/2/2022,0,471,500,1097,2158,52.05
6/3/2022,0,353,500,1097,1819,44.21
6/4/2022,0,186,500,1097,1685,48.37
6/5/2022,0,244,500,1096,1726,55.54
6/6/2022,0,337,500,1096,1746,60.21
6/7/2022,0,476,500,1096,1930,48.53
6/8/2022,0,498,500,1096,2082,54.70
6/9/2022,0,455,500,1132,2182,54.20
6/10/2022,0,261,500,1204,2060,80.56
6/11/2022,0,154,500,1204,1999,63.71
6/12/2022,0,234,500,1204,1860,59.38
6/13/2022,0,327,500,1204,1868,62.38
6/14/2022,0,415,500,1182,1755,57.88
6/15/2022,0,457,500,1146,1878,62.04
6/16/2022,0,416,500,1146,2306,31.86
6/17/2022,0,262,500,1146,1596,50.20
6/18/2022,0,154,500,1146,1286,48.00
6/19/2022,0,216,500,1146,1127,50.84
6/20/2022,0,459,500,1143,1390,63.97
6/21/2022,0,572,500,1142,1379,68.46
6/22/2022,0,629,667,1082,1489,45.26
6/23/2022,0,596,750,939,1456,61.29
6/24/2022,0,449,748,832,1516,60.45
6/25/2022,0,375,701,802,1344,67.17
6/26/2022,0,401,758,801,742,67.14
6/27/2022,0,583,1017,691,1923,65.70
6/28/2022,0,696,1075,573,1483,71.80
6/29/2022,0,774,1034,446,1207,58.48
6/30/2022,0,797,1059,314,1328,73.85
7/1/2022,0,547,1104,218,1241,54.79
7/2/2022,0,268,751,519,1320,49.49
7/3/2022,0,315,851,469,964,43.49
7/4/2022,0,478,883,450,770,51.89
7/5/2022,0,610,818,417,1007,46.95
7/6/2022,0,711,822,304,865,34.17
7/7/2022,0,563,861,224,818,58.85
7/8/2022,0,430,803,175,703,54.04
7/9/2022,0,382,769,150,629,42.72
7/10/2022,0,507,775,118,512,58.35
7/11/2022,0,746,811,100,407,60.09
7/12/2022,0,983,862,100,668,61.69
7/13/2022,0,813,1163,100,1031,84.24
7/14/2022,0,936,979,100,1351,64.74
7/15/2022,0,765,991,100,989,62.79
7/16/2022,0,669,1006,100,1021,70.94
7/17/2022,0,761,1028,100,884,63.81
7/18/2022,0,963,1056,100,1182,63.86
7/19/2022,0,1138,1055,100,1048,70.02
7/20/2022,0,1203,1055,100,1161,58.49
7/21/2022,0,1143,1042,100,1321,71.87
7/22/2022,0,911,1048,100,1185,57.33
7/23/2022,0,713,972,100,718,60.18
7/24/2022,0,834,761,100,710,57.95
7/25/2022,0,1194,661,100,1419,53.84
7/26/2022,0,1396,682,100,925,66.00
7/27/2022,0,1424,670,100,693,59.11
7/28/2022,0,1371,669,100,1223,49.65
7/29/2022,0,1134,643,100,1187,52.06
7/30/2022,0,945,605,100,1033,52.46
7/31/2022,0,1047,602,100,1327,51.70
8/1/2022,0,1316,625,100,1044,58.25
8/2/2022,0,1406,573,150,1194,54.70
8/3/2022,0,1408,571,150,1559,58.34
8/4/2022,0,1350,540,149,851,17.42
8/5/2022,0,1097,480,149,484,-551.35
8/6/2022,0,1431,446,149,19,50.53
8/7/2022,0,902,470,149,-62,58.12
8/8/2022,0,1065,462,149,635,55.95
8/9/2022,0,1358,424,149,909,45.25
8/10/2022,0,1440,374,150,470,53.66
8/11/2022,0,1404,182,149,443,42.76
8/12/2022,0,1131,100,149,729,53.12
8/13/2022,0,868,100,149,857,69.73
8/14/2022,0,1044,100,149,736,56.21
8/15/2022,0,1249,100,149,1291,38.87
8/16/2022,0,1429,100,149,768,49.23
8/17/2022,0,1472,100,149,1263,46.06
8/18/2022,0,1420,100,157,1235,-216.28
8/19/2022,0,1285,100,169,1354,48.58
8/20/2022,0,689,100,182,1377,51.96
8/21/2022,0,765,100,190,1418,52.82
8/22/2022,0,997,100,190,1487,54.82
8/23/2022,0,1313,100,182,1797,56.26
8/24/2022,0,1622,100,170,1801,50.02
8/25/2022,0,1772,100,170,1912,41.34
8/26/2022,0,1622,100,170,1835,44.26
8/27/2022,0,1210,100,170,1133,46.89
8/28/2022,0,1110,100,170,1021,40.12
8/29/2022,0,1221,100,170,1580,42.46
8/30/2022,0,1365,100,158,1795,48.79
8/31/2022,0,1467,100,150,1977,45.73
9/1/2022,0,1428,100,150,1821,59.95
9/2/2022,0,1118,0,250,1379,-194.64
9/3/2022,0,1011,0,250,2096,45.54
9/4/2022,0,803,0,250,1884,57.96
9/5/2022,0,1036,0,250,2201,55.91
9/6/2022,0,1310,0,273,2018,-187.52
9/7/2022,0,1598,0,251,3403,56.05
9/8/2022,0,1196,0,251,1986,59.69
9/9/2022,0,928,0,264,2323,30.10
9/10/2022,0,640,0,270,2624,49.12
9/11/2022,0,628,0,270,2389,5244.28
9/12/2022,0,1025,0,253,2660,1174.56
9/13/2022,0,1013,0,253,2734,1261.12
9/14/2022,0,1001,0,252,2807,1347.67
9/15/2022,0,988,0,251,2881,-8195.32
9/16/2022,0,788,0,260,2735,36.29
9/17/2022,0,472,0,260,2612,30.73
9/18/2022,0,534,0,260,2736,10.04
9/19/2022,0,836,0,248,2663,1.14
9/20/2022,0,836,0,241,3179,41.80
9/21/2022,0,793,0,241,3523,27.56
9/22/2022,0,743,0,241,3668,35.14
9/23/2022,0,577,0,240,3682,37.13
9/24/2022,0,403,0,227,2227,40.81
9/25/2022,0,470,0,220,1665,38.97
9/26/2022,0,687,0,220,3312,42.00
9/27/2022,0,837,0,233,3536,53.42
9/28/2022,0,964,0,240,3571,39.91
9/29/2022,0,913,0,240,3506,35.35
9/30/2022,0,746,0,240,3100,33.64
10/1/2022,0,405,0,450,1298,32.81
10/2/2022,0,505,0,460,842,29.30
10/3/2022,0,711,0,460,440,33.80
10/4/2022,0,793,0,459,1071,31.55
10/5/2022,0,856,0,459,919,21.81
10/6/2022,0,809,0,487,737,33.49
10/7/2022,0,670,0,511,614,36.73
10/8/2022,0,408,0,511,568,37.56
10/9/2022,0,470,0,484,1108,34.58
10/10/2022,0,674,0,471,870,34.99
10/11/2022,0,806,0,471,408,30.33
10/12/2022,0,881,0,471,498,38.01
10/13/2022,0,867,0,471,955,37.08
10/14/2022,0,655,0,457,901,25.18
10/15/2022,0,382,0,450,838,21.65
10/16/2022,0,419,0,450,814,24.86
10/17/2022,0,662,0,450,793,20.67
10/18/2022,0,704,0,449,792,43.27
10/19/2022,0,704,0,449,986,26.26
10/20/2022,0,659,0,449,924,40.07
10/21/2022,0,562,0,449,804,20.28
10/22/2022,0,384,0,449,398,28.28
10/23/2022,0,384,0,449,406,26.06
10/24/2022,0,561,0,449,486,132.00
10/25/2022,0,561,0,449,669,30.40
10/26/2022,0,697,0,449,1252,26.70
10/27/2022,0,681,0,446,890,17.62
10/28/2022,0,436,0,449,1374,23.45
10/29/2022,0,273,0,510,996,22.61
10/30/2022,0,322,0,540,752,17.26
10/31/2022,0,386,0,540,490,11.17
11/1/2022,0,386,0,540,71,12.46
11/2/2022,0,386,0,540,279,12.19
11/3/2022,0,224,0,527,15,13.46
11/4/2022,0,210,0,519,144,28.77
11/5/2022,0,162,0,506,304,10.39
11/6/2022,0,178,0,501,38,9.89
11/7/2022,0,97,0,488,428,1.77
11/8/2022,0,0,0,480,389,9.85
11/9/2022,0,0,0,481,268,2.42
11/10/2022,0,0,0,494,385,5.30
11/11/2022,0,75,0,501,61,13.88
11/12/2022,0,257,0,501,364,2.44
11/13/2022,0,161,0,501,127,12.34
11/14/2022,0,0,0,501,50,11.50
11/15/2022,0,107,0,501,379,13.56
