Date,Flow(cfs)
11/12/2023,2906
11/13/2023,3112
11/14/2023,2894
11/15/2023,3081
11/16/2023,3959
11/17/2023,4061
11/18/2023,4086
11/19/2023,3588
11/20/2023,3319
11/21/2023,3674
11/22/2023,3222
11/23/2023,3013
11/24/2023,2364
11/25/2023,2509
11/26/2023,2890
11/27/2023,3190
11/28/2023,1427
11/29/2023,2721
11/30/2023,4590
12/1/2023,3756
12/2/2023,2999
12/3/2023,2931
12/4/2023,3354
12/5/2023,3292
12/6/2023,3440
12/7/2023,2106
12/8/2023,2220
12/9/2023,1873
12/10/2023,
12/11/2023,"3,351"
12/12/2023,"2,462"
12/13/2023,"2,195"
12/14/2023,"1,629"
12/15/2023,"1,518"
12/16/2023,"1,396"
12/17/2023,"1,246"
12/18/2023,"1,505"
12/19/2023,919
12/20/2023,"3,087"
12/21/2023,"2,621"
12/22/2023,"3,521"
12/23/2023,"3,394"
12/24/2023,"3,813"
12/25/2023,"3,556"
12/26/2023,"4,005"
12/27/2023,"4,296"
12/28/2023,"2,687"
12/29/2023,"3,091"
12/30/2023,"2,906"
12/31/2023,"2,846"
