Date,Flow(cfs)
1/1/2023,93
1/2/2023,51
1/3/2023,51
1/4/2023,51
1/5/2023,51
1/6/2023,51
1/7/2023,51
1/8/2023,51
1/9/2023,51
1/10/2023,51
1/11/2023,51
1/12/2023,402
1/13/2023,51
1/14/2023,51
1/15/2023,51
1/16/2023,51
1/17/2023,51
1/18/2023,51
1/19/2023,51
1/20/2023,51
1/21/2023,51
1/22/2023,51
1/23/2023,320
1/24/2023,2840
1/25/2023,4238
1/26/2023,3301
1/27/2023,4121
1/28/2023,4349
1/29/2023,4113
1/30/2023,4310
1/31/2023,3848
2/1/2023,3680
2/2/2023,3657
2/3/2023,3685
2/4/2023,3481
2/5/2023,4924
2/6/2023,5447
2/7/2023,3900
2/8/2023,3905
2/9/2023,3436
2/10/2023,3610
2/11/2023,3980
2/12/2023,3693
2/13/2023,3868
2/14/2023,3642
2/15/2023,3649
2/16/2023,4170
2/17/2023,3712
2/18/2023,3351
2/19/2023,3176
2/20/2023,3450
2/21/2023,3399
2/22/2023,3473
2/23/2023,3901
2/24/2023,4190
2/25/2023,4778
2/26/2023,4312
2/27/2023,4378
2/28/2023,4731
3/1/2023,4997
3/2/2023,3817
3/3/2023,2409
3/4/2023,3998
3/5/2023,5117
3/6/2023,4831
3/7/2023,4736
3/8/2023,7155
3/9/2023,2602
3/10/2023,51
3/11/2023,51
3/12/2023,51
3/13/2023,51
3/14/2023,51
3/15/2023,51
3/16/2023,51
3/17/2023,51
3/18/2023,51
3/19/2023,51
3/20/2023,51
3/21/2023,51
3/22/2023,51
3/23/2023,51
3/24/2023,51
3/25/2023,51
3/26/2023,51
3/27/2023,3993
3/28/2023,9295
3/29/2023,9352
3/30/2023,9311
3/31/2023,9283
4/1/2023,8928
4/2/2023,8882
4/3/2023,9270
4/4/2023,7651
4/5/2023,4121
4/6/2023,4558
4/7/2023,7178
4/8/2023,6190
4/9/2023,7185
4/10/2023,9012
4/11/2023,9284
4/12/2023,9292
4/13/2023,9323
4/14/2023,9371
4/15/2023,9308
4/16/2023,9309
4/17/2023,9334
4/18/2023,9334
4/19/2023,9317
4/20/2023,9327
4/21/2023,9283
4/22/2023,9432
4/23/2023,9392
4/24/2023,4454
4/25/2023,51
4/26/2023,1376
4/27/2023,1971
4/28/2023,9294
4/29/2023,9308
4/30/2023,8576
5/1/2023,8709
5/2/2023,9102
5/3/2023,8411
5/4/2023,8938
5/5/2023,8193
5/6/2023,7217
5/7/2023,7210
5/8/2023,7341
5/9/2023,7746
5/10/2023,7182
5/11/2023,8086
5/12/2023,8460
5/13/2023,8105
5/14/2023,8079
5/15/2023,8385
5/16/2023,9293
5/17/2023,9282
5/18/2023,9274
5/19/2023,9260
5/20/2023,7954
5/21/2023,8105
5/22/2023,8326
5/23/2023,9251
5/24/2023,9249
5/25/2023,9273
5/26/2023,9194
5/27/2023,9199
5/28/2023,9203
5/29/2023,9206
5/30/2023,9223
5/31/2023,9275
6/1/2023,9266
6/2/2023,9287
6/3/2023,9298
6/4/2023,9269
6/5/2023,9254
6/6/2023,9212
6/7/2023,9255
6/8/2023,9280
6/9/2023,9262
6/10/2023,9290
6/11/2023,9311
6/12/2023,9155
6/13/2023,9261
6/14/2023,9299
6/15/2023,9265
6/16/2023,9273
6/17/2023,9261
6/18/2023,9279
6/19/2023,9343
6/20/2023,9451
6/21/2023,9404
6/22/2023,9571
6/23/2023,9575
6/24/2023,9598
6/25/2023,9562
6/26/2023,9173
6/27/2023,9287
6/28/2023,9578
6/29/2023,9360
6/30/2023,9498
7/1/2023,9515
7/2/2023,9544
7/3/2023,9536
7/4/2023,7410
7/5/2023,4107
7/6/2023,9518
7/7/2023,9375
7/8/2023,9419
7/9/2023,9158
7/10/2023,9473
7/11/2023,8981
7/12/2023,8727
7/13/2023,9378
7/14/2023,9353
7/15/2023,9402
7/16/2023,9393
7/17/2023,9308
7/18/2023,9389
7/19/2023,9381
7/20/2023,9378
7/21/2023,9324
7/22/2023,9348
7/23/2023,9383
7/24/2023,9084
7/25/2023,8518
7/26/2023,8917
7/27/2023,7970
7/28/2023,7424
7/29/2023,7569
7/30/2023,6143
7/31/2023,8461
8/1/2023,7172
8/2/2023,7226
8/3/2023,6918
8/4/2023,5580
8/5/2023,5558
8/6/2023,4860
8/7/2023,4912
8/8/2023,4999
8/9/2023,5154
8/10/2023,4765
8/11/2023,4603
8/12/2023,4887
8/13/2023,4763
8/14/2023,4862
8/15/2023,4535
8/16/2023,5293
8/17/2023,5423
8/18/2023,5218
8/19/2023,5059
8/20/2023,5505
8/21/2023,4728
8/22/2023,4994
8/23/2023,6213
8/24/2023,5919
8/25/2023,5518
8/26/2023,4676
8/27/2023,4130
8/28/2023,5050
8/29/2023,1927
8/30/2023,5691
8/31/2023,4709
9/1/2023,4843
9/2/2023,4768
9/3/2023,5382
9/4/2023,5837
9/5/2023,5961
9/6/2023,6209
9/7/2023,2452
9/8/2023,4405
9/9/2023,6176
9/10/2023,6448
9/11/2023,6169
9/12/2023,6057
9/13/2023,6125
9/14/2023,6380
9/15/2023,6280
9/16/2023,6660
9/17/2023,6541
9/18/2023,6885
9/19/2023,6326
9/20/2023,6233
9/21/2023,5378
9/22/2023,7169
9/23/2023,6421
9/24/2023,6271
9/25/2023,7203
9/26/2023,6966
9/27/2023,3683
9/28/2023,3686
9/29/2023,4197
9/30/2023,5121
10/1/2023,4959
10/2/2023,865
10/3/2023,51
10/4/2023,51
10/5/2023,51
10/6/2023,51
10/7/2023,51
10/8/2023,51
10/9/2023,51
10/10/2023,51
10/11/2023,51
10/12/2023,51
10/13/2023,51
10/14/2023,51
10/15/2023,51
10/16/2023,51
10/17/2023,51
10/18/2023,51
10/19/2023,51
10/20/2023,51
10/21/2023,51
10/22/2023,51
10/23/2023,51
10/24/2023,51
10/25/2023,51
10/26/2023,51
10/27/2023,51
10/28/2023,51
10/29/2023,51
10/30/2023,51
10/31/2023,51
11/1/2023,51
11/2/2023,51
11/3/2023,51
11/4/2023,51
11/5/2023,50
11/6/2023,51
11/7/2023,51
11/8/2023,777
11/9/2023,2502
11/10/2023,2715
11/11/2023,2856
