,JDAY,TAIR,TDEW,WIND,PHI,CLOUD,SRO,,,
3/27/2022 15:00,36976.63,26.66666667,7.787696403,3.129280003,3.263765701,8.359781853,353,,,
3/27/2022 16:00,36976.67,26.11111111,8.286163418,1.341120001,3.455751919,8.279072365,194,,,
3/27/2022 17:00,36976.71,25.55555556,8.029388124,1.788160002,3.420845334,8.198362877,54,,,
3/27/2022 18:00,36976.76,23.33333333,7.809206619,1.341120001,5.829399702,8.117653388,2,,,
3/27/2022 19:00,36976.8,21.11111111,7.678771287,1.788160002,3.333578871,8.0369439,0,,,
3/27/2022 20:00,36976.84,18.88888889,7.939568175,3.576320003,4.031710572,7.956234412,0,,,
3/27/2022 21:00,36976.88,18.33333333,6.840044867,1.341120001,2.687807048,7.875524923,0,,,
3/27/2022 22:00,36976.92,16.11111111,6.404946685,1.341120001,3.874630939,7.794815435,0,,,
3/27/2022 23:00,36976.97,15.83333333,6.840044867,1.564640001,3.49938515,7.714105947,0,,,
3/28/2022 0:00,36977,15.55555556,5.369271004,1.788160002,3.124139361,7.633396459,0,,,
3/28/2022 1:00,36977.04,14.44444444,4.623031531,1.341120001,3.735004599,7.55268697,0,,,
3/28/2022 2:00,36977.08,13.88888889,3.50804387,0.44704,2.792526803,7.471977482,0,,,
3/28/2022 3:00,36977.13,13.88888889,5.031767724,0,4.031710572,7.391267994,0,,,
3/28/2022 4:00,36977.17,12.77777778,4.796142696,1.341120001,4.15388362,7.310558505,0,,,
3/28/2022 5:00,36977.21,11.11111111,5.571251941,3.129280003,5.619960191,7.229849017,0,,,
3/28/2022 6:00,36977.25,11.11111111,4.623031531,5.811520005,0.680678408,7.149139529,8,,,
3/28/2022 7:00,36977.29,11.11111111,3.656277797,6.705600006,0.680678408,7.068430041,36,,,
3/28/2022 8:00,36977.34,11.11111111,4.650324484,7.599680007,0.837758041,6.987720552,79,,,
3/28/2022 9:00,36977.38,11.11111111,5.046183793,6.705600006,1.570796327,6.907011064,195,,,
3/28/2022 10:00,36977.42,11.11111111,5.463754928,7.152640007,1.378810109,6.826301576,686,,,
3/28/2022 11:00,36977.46,12.22222222,6.429230525,3.576320003,1.884955592,6.745592087,600,,,
3/28/2022 12:00,36977.5,14.44444444,7.4973647,1.341120001,3.089232776,6.664882599,419,,,
3/28/2022 13:00,36977.55,15,8.420820067,1.341120001,2.28638132,6.584173111,583,,,
3/28/2022 14:00,36977.59,15.55555556,5.899618853,0.894080001,0.471238898,8.508852323,401,,,
3/28/2022 15:00,36977.63,16.11111111,7.261675615,1.788160002,2.740166926,10,111,,,
3/28/2022 16:00,36977.67,16.11111111,7.236909601,0.894080001,3.106686069,10,49,,,
3/28/2022 17:00,36977.71,16.11111111,7.057243085,0.894080001,3.577924967,10,9,,,
3/28/2022 18:00,36977.76,11.11111111,7.180299491,1.341120001,3.612831552,10,0,,,
3/28/2022 19:00,36977.8,10.83333333,7.535614635,2.235200002,1.815142422,10,0,,,
3/28/2022 20:00,36977.84,10.55555556,6.738326853,3.129280003,0.017453293,10,0,,,
3/28/2022 21:00,36977.88,11.11111111,6.604598801,4.470400004,0.453785606,10,0,,,
3/28/2022 22:00,36977.92,11.66666667,7.027751733,4.023360004,0.296705973,10,0,,,
3/28/2022 23:00,36977.97,11.66666667,6.854453317,1.788160002,0.541052068,10,0,,,
3/29/2022 0:00,36978,10.55555556,6.301881326,0.44704,1.658062789,10,0,,,
3/29/2022 1:00,36978.04,8.888888889,6.301881326,0.894080001,3.281218994,10,0,,,
3/29/2022 2:00,36978.08,9.444444444,5.555303124,1.788160002,4.71238898,10,0,,,
3/29/2022 3:00,36978.13,10.55555556,5.555303124,1.788160002,5.602506899,10,0,,,
3/29/2022 4:00,36978.17,11.11111111,5.384698544,0.894080001,1.326450232,10,0,,,
3/29/2022 5:00,36978.21,10.55555556,4.667552254,0.894080001,1.099557429,10,0,,,
3/29/2022 6:00,36978.25,7.777777778,3.950064652,1.788160002,3.612831552,10,29,,,
3/29/2022 7:00,36978.29,7.222222222,4.083399657,1.341120001,4.57276264,10,106,,,
3/29/2022 8:00,36978.34,8.333333333,3.916650843,1.788160002,0.750491578,10,178,,,
3/29/2022 9:00,36978.38,11.11111111,3.781524667,1.341120001,6.073745797,10,345,,,
3/29/2022 10:00,36978.42,10,4.318827909,1.341120001,3.647738137,10,371,,,
3/29/2022 11:00,36978.46,11.66666667,5.948742749,2.235200002,3.717551307,10,462,,,
3/29/2022 12:00,36978.5,13.88888889,6.299779479,2.682240002,4.258603375,10,623,,,
3/29/2022 13:00,36978.55,15,7.027751733,2.682240002,3.909537524,10,243,,,
3/29/2022 14:00,36978.59,16.66666667,8.460841032,2.235200002,3.822271062,4.9864276,638,,,
3/29/2022 15:00,36978.63,16.11111111,8.074308754,1.788160002,5.497787144,9.021659726,308,,,
3/29/2022 16:00,36978.67,16.11111111,7.729188811,1.788160002,5.532693729,9.006982185,232,,,
3/29/2022 17:00,36978.71,16.66666667,7.939568175,1.788160002,0.663225116,8.992304644,98,,,
3/29/2022 18:00,36978.76,16.66666667,7.193955404,1.788160002,0.767944871,8.977627103,5,,,
3/29/2022 19:00,36978.8,16.11111111,6.769828957,0.894080001,1.221730476,8.962949562,0,,,
3/29/2022 20:00,36978.84,15.55555556,7.534256541,2.235200002,1.518436449,8.948272021,0,,,
3/29/2022 21:00,36978.88,15.55555556,7.021200346,2.235200002,1.186823891,8.93359448,0,,,
3/29/2022 22:00,36978.92,15.55555556,6.647737977,1.341120001,1.204277184,8.918916939,0,,,
3/29/2022 23:00,36978.97,15.55555556,6.475699745,1.341120001,0.872664626,8.904239398,0,,,
3/30/2022 0:00,36979,15.55555556,5.555303124,1.341120001,0.890117919,8.889561857,0,,,
3/30/2022 1:00,36979.04,15,5.046183793,0.44704,2.513274123,8.874884316,0,,,
3/30/2022 2:00,36979.08,14.44444444,5.384698544,0.44704,3.089232776,8.860206775,0,,,
3/30/2022 3:00,36979.13,14.44444444,4.667552254,2.235200002,1.762782545,8.845529234,0,,,
3/30/2022 4:00,36979.17,14.44444444,4.322562512,0.44704,6.108652382,8.830851693,0,,,
3/30/2022 5:00,36979.21,14.44444444,3.962580209,0.44704,2.49582083,8.816174152,1,,,
3/30/2022 6:00,36979.25,13.88888889,3.226061685,0.894080001,2.687807048,8.801496611,32,,,
3/30/2022 7:00,36979.29,13.88888889,2.844995102,2.235200002,1.588249619,8.78681907,255,,,
3/30/2022 8:00,36979.34,13.33333333,0.169967667,0.894080001,3.473205211,8.772141529,392,,,
3/30/2022 9:00,36979.38,15.55555556,3.781524667,0.894080001,3.438298626,8.757463988,530,,,
3/30/2022 10:00,36979.42,16.11111111,2.377881969,0.894080001,3.752457892,8.742786447,587,,,
3/30/2022 11:00,36979.46,17.77777778,4.650324484,0,2.024581932,8.728108906,551,,,
3/30/2022 12:00,36979.5,18.88888889,6.458226398,0.894080001,4.729842273,8.713431365,705,,,
3/30/2022 13:00,36979.55,19.44444444,5.61425767,0.894080001,4.188790205,8.698753824,416,,,
3/30/2022 14:00,36979.59,19.44444444,6.60529285,0.44704,5.846852994,7.099715042,514,,,
3/30/2022 15:00,36979.63,20.55555556,7.809206619,0.894080001,5.515240436,7.926218288,389,,,
3/30/2022 16:00,36979.67,20.55555556,7.755192752,2.682240002,4.29350996,7.680648356,191,,,
3/30/2022 17:00,36979.71,20,6.438997611,3.129280003,4.660029103,7.435078424,66,,,
3/30/2022 18:00,36979.76,18.88888889,6.769828957,2.682240002,4.537856055,7.189508492,6,,,
3/30/2022 19:00,36979.8,17.22222222,7.153551424,3.129280003,4.537856055,6.943938561,0,,,
3/30/2022 20:00,36979.84,16.11111111,7.534256541,3.576320003,5.061454831,6.698368629,0,,,
3/30/2022 21:00,36979.88,15.55555556,6.438997611,3.129280003,5.078908123,6.452798697,0,,,
3/30/2022 22:00,36979.92,15,6.301881326,1.788160002,5.044001538,6.207228765,0,,,
3/30/2022 23:00,36979.97,11.66666667,7.364961634,2.235200002,3.961897402,5.961658833,0,,,
3/31/2022 0:00,36980,11.11111111,6.10152055,1.341120001,3.682644722,5.716088901,0,,,
3/31/2022 1:00,36980.04,10,7.021200346,2.235200002,4.136430327,5.470518969,0,,,
3/31/2022 2:00,36980.08,9.444444444,5.219248703,1.788160002,4.555309348,5.224949037,0,,,
3/31/2022 3:00,36980.13,8.888888889,5.582198243,1.788160002,4.118977035,4.979379105,0,,,
3/31/2022 4:00,36980.17,7.222222222,6.126242773,1.788160002,4.049163865,4.733809173,0,,,
3/31/2022 5:00,36980.21,6.666666667,4.993340073,1.341120001,3.612831552,4.488239242,2,,,
3/31/2022 6:00,36980.25,6.111111111,3.773200732,1.788160002,4.08407045,4.24266931,92,,,
3/31/2022 7:00,36980.29,6.111111111,3.773200732,1.788160002,3.892084232,3.997099378,294,,,
3/31/2022 8:00,36980.34,7.222222222,3.656277797,1.341120001,3.874630939,3.751529446,332,,,
3/31/2022 9:00,36980.38,7.777777778,4.723783816,0.44704,3.054326191,3.505959514,291,,,
3/31/2022 10:00,36980.42,8.333333333,5.901294428,0.894080001,3.595378259,3.260389582,247,,,
3/31/2022 11:00,36980.46,9.444444444,6.60529285,1.788160002,4.049163865,3.01481965,396,,,
3/31/2022 12:00,36980.5,10,6.954827613,1.341120001,3.508111797,2.769249718,669,,,
3/31/2022 13:00,36980.55,12.22222222,7.527693244,2.235200002,3.839724354,2.523679786,788,,,
3/31/2022 14:00,36980.59,14.44444444,5.319550344,1.341120001,0.925024504,3.742315823,698,,,
3/31/2022 15:00,36980.63,16.66666667,7.006064242,1.341120001,4.101523742,5.828916732,515,,,
3/31/2022 16:00,36980.67,18.88888889,6.482844764,0.894080001,0.837758041,5.563965971,324,,,
3/31/2022 17:00,36980.71,18.88888889,6.187655784,1.788160002,4.345869837,5.299015211,110,,,
3/31/2022 18:00,36980.76,18.33333333,7.273766736,0.894080001,2.757620218,5.03406445,8,,,
3/31/2022 19:00,36980.8,17.77777778,7.339798837,0.894080001,3.438298626,4.76911369,0,,,
3/31/2022 20:00,36980.84,16.66666667,6.801903966,1.341120001,3.246312409,4.504162929,0,,,
3/31/2022 21:00,36980.88,16.11111111,6.299779479,1.341120001,3.159045946,4.239212169,0,,,
3/31/2022 22:00,36980.92,15.55555556,6.129787377,0.894080001,3.455751919,3.974261408,0,,,
3/31/2022 23:00,36980.97,15.55555556,5.587985585,0.894080001,3.246312409,3.709310647,0,,,
4/1/2022 0:00,36981,15,4.863600356,1.788160002,1.605702912,3.444359887,0,,,
4/1/2022 1:00,36981.04,13.33333333,4.492283507,0.894080001,3.822271062,3.179409126,0,,,
4/1/2022 2:00,36981.08,13.88888889,4.138717927,0.894080001,2.775073511,2.914458366,0,,,
4/1/2022 3:00,36981.13,13.33333333,3.187338707,0.894080001,1.79768913,2.649507605,0,,,
4/1/2022 4:00,36981.17,13.33333333,3.952799289,1.788160002,1.082104136,2.384556845,0,,,
4/1/2022 5:00,36981.21,12.77777778,3.226061685,0.894080001,1.989675347,2.119606084,4,,,
4/1/2022 6:00,36981.25,12.22222222,3.413315072,2.235200002,1.204277184,1.854655324,123,,,
4/1/2022 7:00,36981.29,12.22222222,3.036639873,2.235200002,1.221730476,1.589704563,336,,,
4/1/2022 8:00,36981.34,13.33333333,2.65107071,1.788160002,0.872664626,1.324753803,544,,,
4/1/2022 9:00,36981.38,17.22222222,2.256145067,0.44704,0.34906585,1.059803042,719,,,
4/1/2022 10:00,36981.42,17.77777778,3.241177308,0.894080001,0.157079633,0.794852282,837,,,
4/1/2022 11:00,36981.46,18.33333333,4.03459732,1.788160002,4.066617157,0.529901521,892,,,
4/1/2022 12:00,36981.5,21.11111111,4.664102525,0.44704,4.241150082,0.264950761,899,,,
4/1/2022 13:00,36981.55,22.22222222,6.225899464,1.341120001,3.490658504,0,836,,,
4/1/2022 14:00,36981.59,23.33333333,6.902161248,2.235200002,1.448623279,3.409856851,713,,,
4/1/2022 15:00,36981.63,24.44444444,7.66214557,0.894080001,3.420845334,5.388749648,539,,,
4/1/2022 16:00,36981.67,23.88888889,7.236909601,1.341120001,4.956735076,5.143806482,328,,,
4/1/2022 17:00,36981.71,23.88888889,8.136763146,2.235200002,4.171336912,4.898863316,121,,,
4/1/2022 18:00,36981.76,23.88888889,8.460841032,1.788160002,4.398229715,4.653920151,7,,,
4/1/2022 19:00,36981.8,21.66666667,9.208572429,2.235200002,4.171336912,4.408976985,0,,,
4/1/2022 20:00,36981.84,20,7.729188811,0.894080001,4.974188368,4.164033819,0,,,
4/1/2022 21:00,36981.88,19.44444444,7.141685044,0.44704,5.131268001,3.919090653,0,,,
4/1/2022 22:00,36981.92,18.33333333,7.380310255,0.894080001,0.13962634,3.674147487,0,,,
4/1/2022 23:00,36981.97,16.11111111,6.996920516,2.682240002,1.204277184,3.429204321,0,,,
4/2/2022 0:00,36982,16.11111111,7.189704594,2.235200002,1.047197551,3.184261156,0,,,
4/2/2022 1:00,36982.04,15,6.801903966,2.682240002,0.767944871,2.93931799,0,,,
4/2/2022 2:00,36982.08,15,6.264009096,2.682240002,1.169370599,2.694374824,0,,,
4/2/2022 3:00,36982.13,14.44444444,5.998356572,4.023360004,0.942477796,2.449431658,0,,,
4/2/2022 4:00,36982.17,14.44444444,5.463754928,3.129280003,1.204277184,2.204488492,0,,,
4/2/2022 5:00,36982.21,13.88888889,5.667447087,2.235200002,0.802851456,1.959545327,7,,,
4/2/2022 6:00,36982.25,13.33333333,5.132007205,3.576320003,0.890117919,1.714602161,119,,,
4/2/2022 7:00,36982.29,13.33333333,4.796142696,2.682240002,0.977384381,1.469658995,327,,,
4/2/2022 8:00,36982.34,14.44444444,4.993340073,3.129280003,1.256637061,1.224715829,541,,,
4/2/2022 9:00,36982.38,16.66666667,5.154173407,2.235200002,0.488692191,0.979772663,718,,,
4/2/2022 10:00,36982.42,18.88888889,6.187655784,1.341120001,3.089232776,0.734829497,838,,,
4/2/2022 11:00,36982.46,21.11111111,6.484435239,0.44704,1.692969374,0.489886332,898,,,
4/2/2022 12:00,36982.5,22.77777778,6.214962714,0.894080001,3.735004599,0.244943166,897,,,
4/2/2022 13:00,36982.55,25,8.049322247,0.894080001,4.031710572,0,837,,,
4/2/2022 14:00,36982.59,25,7.521950234,0.894080001,1.972222055,3.353706904,718,,,
4/2/2022 15:00,36982.63,24.44444444,8.049322247,2.682240002,5.427973974,5.44724917,539,,,
4/2/2022 16:00,36982.67,26.11111111,6.182224221,3.576320003,4.468042885,5.199646935,345,,,
4/2/2022 17:00,36982.71,26.11111111,6.484435239,3.576320003,4.520402763,4.9520447,117,,,
4/2/2022 18:00,36982.76,24.44444444,7.278740913,4.917440005,5.166174586,4.704442465,7,,,
4/2/2022 19:00,36982.8,22.77777778,7.180299491,2.235200002,4.485496178,4.45684023,0,,,
4/2/2022 20:00,36982.84,20.55555556,6.532958215,1.788160002,4.485496178,4.209237995,0,,,
4/2/2022 21:00,36982.88,20.55555556,6.114512091,1.341120001,4.607669225,3.96163576,0,,,
4/2/2022 22:00,36982.92,20,6.840044867,0.44704,5.061454831,3.714033525,0,,,
4/2/2022 23:00,36982.97,17.77777778,6.486713889,0.894080001,4.118977035,3.46643129,0,,,
4/3/2022 0:00,36983,17.22222222,6.671589168,2.235200002,1.518436449,3.218829055,0,,,
4/3/2022 1:00,36983.04,15.55555556,6.311895889,0.44704,4.15388362,2.97122682,0,,,
4/3/2022 2:00,36983.08,15.55555556,5.948742749,1.788160002,1.256637061,2.723624585,0,,,
4/3/2022 3:00,36983.13,15,5.948742749,3.129280003,0.890117919,2.47602235,0,,,
4/3/2022 4:00,36983.17,14.44444444,6.126242773,2.235200002,1.466076572,2.228420115,0,,,
4/3/2022 5:00,36983.21,13.88888889,5.587985585,2.235200002,0.994837674,1.98081788,3,,,
4/3/2022 6:00,36983.25,13.88888889,5.046183793,3.129280003,0.837758041,1.733215645,91,,,
4/3/2022 7:00,36983.29,13.88888889,5.046183793,2.682240002,1.239183769,1.48561341,234,,,
4/3/2022 8:00,36983.34,15,5.046183793,0.894080001,1.221730476,1.238011175,450,,,
4/3/2022 9:00,36983.38,15,5.571251941,0.894080001,3.857177647,0.99040894,599,,,
4/3/2022 10:00,36983.42,19.44444444,6.20288697,0.894080001,3.926990817,0.742806705,733,,,
4/3/2022 11:00,36983.46,21.66666667,6.303445334,1.788160002,1.79768913,0.49520447,872,,,
4/3/2022 12:00,36983.5,22.77777778,7.587491825,1.341120001,3.508111797,0.247602235,921,,,
4/3/2022 13:00,36983.55,23.88888889,6.989816978,0.44704,1.850049007,0,857,,,
4/3/2022 14:00,36983.59,24.44444444,7.527693244,2.235200002,3.682644722,2.702264296,741,,,
4/3/2022 15:00,36983.63,24.44444444,7.770431847,2.235200002,0.034906585,4.743228207,573,,,
4/3/2022 16:00,36983.67,25.55555556,5.665913278,2.682240002,5.393067389,4.527626925,359,,,
4/3/2022 17:00,36983.71,26.66666667,6.466174502,5.811520005,4.991641661,4.312025643,133,,,
4/3/2022 18:00,36983.76,26.11111111,6.680491997,6.258560006,5.148721293,4.096424361,7,,,
4/3/2022 19:00,36983.8,23.88888889,6.738326853,4.023360004,5.026548246,3.880823079,0,,,
4/3/2022 20:00,36983.84,21.66666667,6.604598801,3.576320003,5.009094953,3.665221797,0,,,
4/3/2022 21:00,36983.88,21.11111111,6.840044867,4.023360004,4.886921906,3.449620514,0,,,
4/3/2022 22:00,36983.92,20,6.671589168,1.788160002,4.764748858,3.234019232,0,,,
4/3/2022 23:00,36983.97,18.88888889,6.671589168,5.364480005,5.096361416,3.01841795,0,,,
4/4/2022 0:00,36984,16.11111111,6.311895889,2.235200002,4.206243497,2.802816668,0,,,
4/4/2022 1:00,36984.04,14.44444444,5.76933846,1.788160002,3.961897402,2.587215386,0,,,
4/4/2022 2:00,36984.08,12.22222222,6.129787377,2.235200002,4.276056667,2.371614104,0,,,
4/4/2022 3:00,36984.13,10.55555556,5.587985585,3.129280003,4.29350996,2.156012821,0,,,
4/4/2022 4:00,36984.17,12.77777778,5.587985585,2.235200002,5.393067389,1.940411539,0,,,
4/4/2022 5:00,36984.21,11.66666667,5.038153713,0.894080001,1.117010721,1.724810257,7,,,
4/4/2022 6:00,36984.25,8.333333333,5.226781031,1.341120001,3.682644722,1.509208975,147,,,
4/4/2022 7:00,36984.29,7.777777778,4.138717927,1.341120001,4.625122518,1.293607693,324,,,
4/4/2022 8:00,36984.34,13.33333333,4.678983315,0.894080001,1.815142422,1.078006411,391,,,
4/4/2022 9:00,36984.38,13.33333333,5.38083816,0.894080001,3.630284844,0.862405129,537,,,
4/4/2022 10:00,36984.42,13.88888889,6.647405791,1.341120001,3.560471674,0.646803846,804,,,
4/4/2022 11:00,36984.46,16.11111111,8.029388124,1.788160002,4.468042885,0.431202564,633,,,
4/4/2022 12:00,36984.5,18.33333333,8.773578369,0.894080001,2.391101075,0.215601282,891,,,
4/4/2022 13:00,36984.55,17.77777778,8.560744405,2.235200002,0.401425728,0,875,,,
4/4/2022 14:00,36984.59,19.44444444,7.787696403,2.235200002,0.733038286,2.355280689,753,,,
4/4/2022 15:00,36984.63,22.22222222,8.57095125,2.682240002,1.047197551,4.714781929,577,,,
4/4/2022 16:00,36984.67,22.22222222,6.977522902,0.894080001,1.204277184,4.50047366,339,,,
4/4/2022 17:00,36984.71,23.33333333,7.76153651,2.682240002,5.305800926,4.28616539,129,,,
4/4/2022 18:00,36984.76,23.33333333,8.117740565,2.682240002,4.904375198,4.071857121,10,,,
4/4/2022 19:00,36984.8,21.66666667,7.926301872,2.682240002,4.625122518,3.857548851,0,,,
4/4/2022 20:00,36984.84,20,7.877693707,4.917440005,5.166174586,3.643240582,0,,,
4/4/2022 21:00,36984.88,18.33333333,7.380310255,1.788160002,4.380776423,3.428932312,0,,,
4/4/2022 22:00,36984.92,17.22222222,7.035352642,1.788160002,4.066617157,3.214624043,0,,,
4/4/2022 23:00,36984.97,17.22222222,7.035352642,1.341120001,4.36332313,3.000315773,0,,,
4/5/2022 0:00,36985,15,6.126242773,3.129280003,4.4331363,2.786007504,0,,,
4/5/2022 1:00,36985.04,15,5.76933846,2.235200002,1.326450232,2.571699234,0,,,
4/5/2022 2:00,36985.08,13.88888889,5.582198243,0.894080001,3.787364477,2.357390965,0,,,
4/5/2022 3:00,36985.13,13.33333333,5.046183793,1.788160002,0.785398163,2.143082695,0,,,
4/5/2022 4:00,36985.17,12.77777778,5.038153713,0.894080001,2.181661565,1.928774426,0,,,
4/5/2022 5:00,36985.21,11.66666667,4.862132855,0.894080001,3.769911184,1.714466156,9,,,
4/5/2022 6:00,36985.25,11.11111111,4.122775896,1.341120001,1.448623279,1.500157887,135,,,
4/5/2022 7:00,36985.29,11.66666667,3.950064652,2.682240002,1.221730476,1.285849617,351,,,
4/5/2022 8:00,36985.34,11.11111111,4.318827909,1.341120001,3.892084232,1.071541348,563,,,
4/5/2022 9:00,36985.38,13.88888889,5.757104969,1.341120001,4.799655443,0.857233078,739,,,
4/5/2022 10:00,36985.42,16.11111111,4.960251492,1.341120001,3.612831552,0.642924809,858,,,
4/5/2022 11:00,36985.46,17.77777778,6.769828957,1.341120001,4.677482395,0.428616539,917,,,
4/5/2022 12:00,36985.5,20,6.22081526,3.129280003,4.415683008,0.21430827,911,,,
4/5/2022 13:00,36985.55,22.77777778,6.769828957,2.235200002,4.01425728,0,850,,,
4/5/2022 14:00,36985.59,22.22222222,7.534256541,4.470400004,4.468042885,3.383347678,726,,,
4/5/2022 15:00,36985.63,22.77777778,7.578657589,3.576320003,4.415683008,5.102949884,563,,,
4/5/2022 16:00,36985.67,23.33333333,7.214331833,2.235200002,5.096361416,4.870997617,346,,,
4/5/2022 17:00,36985.71,23.33333333,7.021200346,3.576320003,4.71238898,4.639045349,134,,,
4/5/2022 18:00,36985.76,22.77777778,6.846657683,4.023360004,4.50294947,4.407093082,10,,,
4/5/2022 19:00,36985.8,21.11111111,6.492047695,3.129280003,4.660029103,4.175140814,0,,,
4/5/2022 20:00,36985.84,18.88888889,6.126242773,4.470400004,4.520402763,3.943188547,0,,,
4/5/2022 21:00,36985.88,17.77777778,6.126242773,2.235200002,4.310963252,3.711236279,0,,,
4/5/2022 22:00,36985.92,16.11111111,5.843876107,2.235200002,4.520402763,3.479284012,0,,,
4/5/2022 23:00,36985.97,15.55555556,5.555303124,0.894080001,1.815142422,3.247331744,0,,,
4/6/2022 0:00,36986,13.88888889,4.667552254,0.44704,1.972222055,3.015379477,0,,,
4/6/2022 1:00,36986.04,13.88888889,5.009085697,0.894080001,1.117010721,2.78342721,0,,,
4/6/2022 2:00,36986.08,13.33333333,5.009085697,1.341120001,1.134464014,2.551474942,0,,,
4/6/2022 3:00,36986.13,12.77777778,5.384698544,0.894080001,2.391101075,2.319522675,0,,,
4/6/2022 4:00,36986.17,12.77777778,4.839197943,1.341120001,1.483529864,2.087570407,0,,,
4/6/2022 5:00,36986.21,12.22222222,5.384698544,2.682240002,0.994837674,1.85561814,9,,,
4/6/2022 6:00,36986.25,12.22222222,4.667552254,2.682240002,1.256637061,1.623665872,134,,,
4/6/2022 7:00,36986.29,12.22222222,4.248479753,2.682240002,1.082104136,1.391713605,353,,,
4/6/2022 8:00,36986.34,15,5.009085697,0.44704,2.548180708,1.159761337,571,,,
4/6/2022 9:00,36986.38,17.22222222,5.405437802,1.788160002,1.099557429,0.92780907,747,,,
4/6/2022 10:00,36986.42,20.55555556,6.671589168,1.788160002,2.635447171,0.695856802,867,,,
4/6/2022 11:00,36986.46,21.11111111,7.180299491,1.341120001,3.577924967,0.463904535,927,,,
4/6/2022 12:00,36986.5,23.33333333,7.891476384,1.788160002,3.351032164,0.231952267,925,,,
4/6/2022 13:00,36986.55,24.44444444,7.261675615,2.682240002,3.717551307,0,856,,,
4/6/2022 14:00,36986.59,25,6.733452425,1.341120001,3.403392041,3.322453539,731,,,
4/6/2022 15:00,36986.63,27.22222222,7.214846108,0.894080001,4.206243497,5.33390529,555,,,
4/6/2022 16:00,36986.67,28.33333333,6.126180154,0.894080001,5.742133239,5.09145505,338,,,
4/6/2022 17:00,36986.71,27.77777778,5.962806236,0,3.909537524,4.849004809,127,,,
4/6/2022 18:00,36986.76,27.22222222,6.37466484,0.894080001,5.986479334,4.606554569,9,,,
4/6/2022 19:00,36986.8,25.55555556,6.433317852,0.894080001,3.769911184,4.364104328,0,,,
4/6/2022 20:00,36986.84,22.77777778,5.188219355,1.341120001,0.087266463,4.121654088,0,,,
4/6/2022 21:00,36986.88,22.22222222,4.796142696,1.788160002,5.096361416,3.879203847,0,,,
4/6/2022 22:00,36986.92,20,3.892873311,1.788160002,0.959931089,3.636753607,0,,,
4/6/2022 23:00,36986.97,18.88888889,2.990247673,3.576320003,0.925024504,3.394303367,0,,,
4/7/2022 0:00,36987,17.77777778,2.498464025,3.576320003,1.029744259,3.151853126,0,,,
4/7/2022 1:00,36987.04,16.66666667,1.539352184,3.576320003,0.872664626,2.909402886,0,,,
4/7/2022 2:00,36987.08,16.66666667,0.41675979,4.470400004,0.820304748,2.666952645,0,,,
4/7/2022 3:00,36987.13,16.11111111,1.224506944,2.682240002,1.204277184,2.424502405,0,,,
4/7/2022 4:00,36987.17,16.11111111,0.122065466,3.129280003,0.977384381,2.182052164,0,,,
4/7/2022 5:00,36987.21,16.11111111,0.044707939,1.788160002,0.994837674,1.939601924,11,,,
4/7/2022 6:00,36987.25,15.55555556,-1.388462635,3.576320003,0.942477796,1.697151683,145,,,
4/7/2022 7:00,36987.29,15.55555556,-1.861628805,3.576320003,0.890117919,1.454701443,356,,,
4/7/2022 8:00,36987.34,16.66666667,-1.56238295,2.682240002,0.977384381,1.212251202,573,,,
4/7/2022 9:00,36987.38,19.44444444,0.224887206,2.235200002,0.593411946,0.969800962,748,,,
4/7/2022 10:00,36987.42,23.33333333,0.502803844,0.894080001,4.485496178,0.727350721,866,,,
4/7/2022 11:00,36987.46,25.55555556,2.013719536,0.894080001,5.969026042,0.484900481,921,,,
4/7/2022 12:00,36987.5,30,3.555892268,0.44704,1.326450232,0.24245024,922,,,
4/7/2022 13:00,36987.55,30.55555556,5.612122577,1.341120001,4.64257581,0,851,,,
4/7/2022 14:00,36987.59,31.11111111,4.207857133,0.44704,1.762782545,3.168693962,739,,,
4/7/2022 15:00,36987.63,31.66666667,5.533430065,1.788160002,0.820304748,5.153348329,566,,,
4/7/2022 16:00,36987.67,33.88888889,4.094397981,2.682240002,3.717551307,4.919105223,352,,,
4/7/2022 17:00,36987.71,33.88888889,3.998258319,2.682240002,3.473205211,4.684862117,132,,,
4/7/2022 18:00,36987.76,33.33333333,4.14100387,1.341120001,4.258603375,4.450619011,10,,,
4/7/2022 19:00,36987.8,31.11111111,5.901294428,0.894080001,4.415683008,4.216375905,0,,,
4/7/2022 20:00,36987.84,28.33333333,4.1860706,1.341120001,5.777039824,3.982132799,0,,,
4/7/2022 21:00,36987.88,26.66666667,4.723783816,1.341120001,5.759586532,3.747889693,0,,,
4/7/2022 22:00,36987.92,23.88888889,4.2598747,2.682240002,1.029744259,3.513646588,0,,,
4/7/2022 23:00,36987.97,22.22222222,4.303449923,4.470400004,0.942477796,3.279403482,0,,,
4/8/2022 0:00,36988,21.66666667,3.919167587,3.576320003,0.942477796,3.045160376,0,,,
4/8/2022 1:00,36988.04,20.55555556,3.382081344,4.023360004,0.890117919,2.81091727,0,,,
4/8/2022 2:00,36988.08,20.55555556,3.036639873,3.129280003,0.890117919,2.576674164,0,,,
4/8/2022 3:00,36988.13,20,2.844995102,3.576320003,0.750491578,2.342431058,0,,,
4/8/2022 4:00,36988.17,20,2.114802714,1.788160002,0.506145483,2.108187953,0,,,
4/8/2022 5:00,36988.21,20.55555556,1.919367907,3.129280003,0.925024504,1.873944847,11,,,
