$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:137.     

JDAY,QWD(m3s-1)
 35564.042,   20.7983
 35564.086,   20.7876
 35564.127,   20.7760
 35564.170,   20.7634
 35564.210,   20.7531
 35564.250,   20.7415
 35564.295,   20.7288
 35564.337,   20.7170
 35564.379,   20.7058
 35564.420,   20.6941
 35564.458,   20.6833
 35564.500,   20.6706
 35564.544,   20.6593
 35564.587,   20.6473
 35564.630,   20.6352
 35564.670,   20.6237
 35564.710,   20.6117
 35564.753,   20.6007
 35564.792,   20.5897
 35564.836,   20.5768
 35564.875,   20.5655
 35564.919,   20.5533
 35564.960,   20.5424
 35565.000,   20.5306
 35565.044,   20.5300
 35565.086,   20.5300
 35565.126,   20.5300
 35565.170,   20.5300
 35565.210,   20.5300
 35565.250,   20.5300
 35565.294,   20.5300
 35565.335,   20.5300
 35565.378,   20.5300
 35565.418,   20.5300
 35565.460,   20.5300
 35565.500,   20.5300
 35565.542,   20.5300
 35565.586,   20.5300
 35565.626,   20.5300
 35565.668,   20.5300
 35565.710,   20.5300
 35565.753,   20.5300
 35565.795,   20.5300
 35565.835,   20.5300
 35565.878,   20.5300
 35565.919,   20.5300
 35565.960,   20.5300
 35566.000,   20.5300
 35566.044,   20.4928
 35566.084,   20.4556
 35566.125,   20.4179
 35566.170,   20.3765
 35566.210,   20.3390
 35566.250,   20.2992
 35566.295,   20.2603
 35566.333,   20.2249
 35566.378,   20.1837
 35566.417,   20.1469
 35566.460,   20.1075
 35566.500,   20.0664
 35566.545,   20.0263
 35566.584,   19.9899
 35566.630,   19.9491
 35566.670,   19.9102
 35566.710,   19.8719
 35566.753,   19.8337
 35566.792,   19.7971
 35566.836,   19.7555
 35566.880,   19.7164
 35566.918,   19.6791
 35566.960,   19.6396
 35567.000,   19.6027
 35567.042,   19.5255
 35567.083,   19.4568
 35567.129,   19.3765
 35567.170,   19.3022
 35567.208,   19.2336
 35567.250,   19.1527
 35567.294,   19.0809
 35567.334,   19.0133
 35567.380,   18.9307
 35567.417,   18.8637
 35567.460,   18.7821
 35567.500,   18.7102
 35567.544,   18.6322
 35567.584,   18.5632
 35567.627,   18.4856
 35567.670,   18.4094
 35567.710,   18.3374
 35567.751,   18.2640
 35567.795,   18.1852
 35567.837,   18.1091
 35567.877,   18.0414
 35567.920,   17.9623
 35567.961,   17.8876
 35568.000,   17.8157
 35568.046,   17.7704
 35568.087,   17.7308
 35568.130,   17.6875
 35568.169,   17.6491
 35568.210,   17.6040
 35568.250,   17.5670
 35568.295,   17.5229
 35568.337,   17.4814
 35568.376,   17.4414
 35568.420,   17.3986
 35568.460,   17.3564
 35568.500,   17.3164
 35568.545,   17.2762
 35568.587,   17.2347
 35568.626,   17.1920
 35568.667,   17.1508
 35568.709,   17.1094
 35568.750,   17.0683
 35568.792,   17.0278
 35568.833,   16.9874
 35568.876,   16.9459
 35568.919,   16.9032
 35568.959,   16.8634
 35569.000,   16.8230
 35569.044,   16.8052
 35569.085,   16.7895
 35569.127,   16.7740
 35569.168,   16.7587
 35569.209,   16.7440
 35569.250,   16.7280
 35569.292,   16.7127
 35569.335,   16.6968
 35569.376,   16.6816
 35569.417,   16.6663
 35569.459,   16.6508
 35569.500,   16.6355
 35569.542,   16.6202
 35569.585,   16.6043
 35569.626,   16.5889
 35569.668,   16.5734
 35569.710,   16.5580
 35569.752,   16.5425
 35569.792,   16.5276
 35569.834,   16.5122
 35569.876,   16.4965
 35569.918,   16.4809
 35569.959,   16.4660
 35570.000,   16.4502
 35570.042,   16.4784
 35570.084,   16.5081
 35570.126,   16.5385
 35570.169,   16.5679
 35570.209,   16.5972
 35570.250,   16.6263
 35570.292,   16.6559
 35570.334,   16.6858
 35570.376,   16.7154
 35570.418,   16.7453
 35570.459,   16.7743
 35570.500,   16.8047
 35570.542,   16.8334
 35570.585,   16.8640
 35570.626,   16.8933
 35570.668,   16.9231
 35570.710,   16.9526
 35570.750,   16.9813
 35570.792,   17.0110
 35570.834,   17.0408
 35570.875,   17.0700
 35570.917,   17.0996
 35570.960,   17.1303
 35571.000,   17.1590
 35571.042,   17.2336
 35571.084,   17.3108
 35571.125,   17.3873
 35571.167,   17.4637
 35571.208,   17.5401
 35571.250,   17.6198
 35571.292,   17.6936
 35571.334,   17.7704
 35571.375,   17.8471
 35571.418,   17.9266
 35571.460,   18.0027
 35571.500,   18.0796
 35571.544,   18.1567
 35571.585,   18.2328
 35571.626,   18.3088
 35571.668,   18.3859
 35571.710,   18.4627
 35571.750,   18.5370
 35571.793,   18.6153
 35571.834,   18.6914
 35571.875,   18.7670
 35571.918,   18.8458
 35571.960,   18.9224
 35572.000,   18.9979
 35572.042,   19.0860
 35572.084,   19.1764
 35572.126,   19.2661
 35572.168,   19.3574
 35572.210,   19.4470
 35572.250,   19.5372
 35572.292,   19.6235
 35572.334,   19.7134
 35572.375,   19.8030
 35572.417,   19.8921
 35572.460,   19.9850
 35572.500,   20.0717
 35572.542,   20.1612
 35572.584,   20.2513
 35572.625,   20.3403
 35572.668,   20.4319
 35572.709,   20.5198
 35572.750,   20.6092
 35572.792,   20.6984
 35572.835,   20.7909
 35572.877,   20.8804
 35572.918,   20.9704
 35572.960,   21.0601
 35573.000,   21.1471
 35573.042,   21.1728
 35573.084,   21.1966
 35573.127,   21.2212
 35573.167,   21.2445
 35573.209,   21.2684
 35573.250,   21.2919
 35573.292,   21.3153
 35573.335,   21.3397
 35573.375,   21.3630
 35573.417,   21.3866
 35573.460,   21.4111
 35573.500,   21.4347
 35573.543,   21.4585
 35573.584,   21.4820
 35573.626,   21.5057
 35573.667,   21.5293
 35573.709,   21.5532
 35573.751,   21.5770
 35573.793,   21.6012
 35573.834,   21.6243
 35573.876,   21.6483
 35573.918,   21.6724
 35573.959,   21.6957
 35574.000,   21.7195
 35574.042,   21.6564
 35574.084,   21.5899
 35574.125,   21.5239
 35574.168,   21.4551
 35574.209,   21.3912
 35574.250,   21.3244
 35574.292,   21.2589
 35574.335,   21.1902
 35574.376,   21.1253
 35574.417,   21.0592
 35574.460,   20.9918
 35574.500,   20.9269
 35574.542,   20.8609
 35574.585,   20.7930
 35574.627,   20.7263
 35574.667,   20.6621
 35574.708,   20.5965
 35574.751,   20.5282
 35574.793,   20.4622
 35574.835,   20.3960
 35574.877,   20.3292
 35574.917,   20.2649
 35574.958,   20.1992
 35575.000,   20.1307
 35575.042,   20.0552
 35575.084,   19.9765
 35575.125,   19.8998
 35575.167,   19.8213
 35575.209,   19.7427
 35575.250,   19.6640
 35575.292,   19.5877
 35575.335,   19.5068
 35575.375,   19.4326
 35575.417,   19.3539
 35575.459,   19.2753
 35575.500,   19.1966
 35575.543,   19.1179
 35575.585,   19.0398
 35575.625,   18.9649
 35575.667,   18.8862
 35575.709,   18.8075
 35575.751,   18.7288
 35575.793,   18.6506
 35575.835,   18.5719
 35575.875,   18.4969
 35575.918,   18.4181
 35575.960,   18.3388
 35576.000,   18.2600
 35576.042,   18.2784
 35576.084,   18.2977
 35576.126,   18.3171
 35576.168,   18.3364
 35576.210,   18.3558
 35576.250,   18.3742
 35576.292,   18.3934
 35576.334,   18.4129
 35576.376,   18.4322
 35576.418,   18.4515
 35576.458,   18.4700
 35576.500,   18.4893
 35576.543,   18.5087
 35576.585,   18.5280
 35576.627,   18.5473
 35576.667,   18.5657
 35576.709,   18.5851
 35576.751,   18.6045
 35576.793,   18.6237
 35576.835,   18.6431
 35576.877,   18.6625
 35576.917,   18.6809
 35576.959,   18.7003
 35577.000,   18.7195
 35577.042,   18.8252
 35577.084,   18.9358
 35577.125,   19.0439
 35577.167,   19.1535
 35577.209,   19.2638
 35577.250,   19.3741
 35577.292,   19.4827
 35577.335,   19.5946
 35577.376,   19.7045
 35577.418,   19.8148
 35577.460,   19.9250
 35577.500,   20.0300
 35577.542,   20.1402
 35577.584,   20.2504
 35577.626,   20.3607
 35577.668,   20.4708
 35577.710,   20.5819
 35577.751,   20.6911
 35577.793,   20.8015
 35577.835,   20.9117
 35577.875,   21.0167
 35577.917,   21.1268
 35577.959,   21.2368
 35578.000,   21.3476
 35578.042,   21.3580
 35578.084,   21.3664
 35578.127,   21.3749
 35578.167,   21.3830
 35578.209,   21.3914
 35578.250,   21.3997
 35578.292,   21.4080
 35578.335,   21.4165
 35578.377,   21.4250
 35578.417,   21.4330
 35578.459,   21.4413
 35578.500,   21.4497
 35578.543,   21.4581
 35578.585,   21.4666
 35578.627,   21.4750
 35578.667,   21.4830
 35578.709,   21.4913
 35578.751,   21.4997
 35578.793,   21.5082
 35578.835,   21.5166
 35578.877,   21.5250
 35578.917,   21.5330
 35578.959,   21.5413
 35579.002,   21.5500
 35579.042,   21.5364
 35579.084,   21.5221
 35579.126,   21.5078
 35579.168,   21.4934
 35579.208,   21.4798
 35579.252,   21.4650
 35579.292,   21.4514
 35579.334,   21.4371
 35579.376,   21.4227
 35579.418,   21.4085
 35579.460,   21.3943
 35579.502,   21.3800
 35579.542,   21.3664
 35579.584,   21.3520
 35579.626,   21.3378
 35579.668,   21.3236
 35579.710,   21.3094
 35579.751,   21.2951
 35579.792,   21.2814
 35579.834,   21.2671
 35579.876,   21.2529
 35579.918,   21.2387
 35579.959,   21.2245
 35580.002,   21.2100
