$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:137.     

JDAY,T(C)
 35575.918,   11.12
 35575.960,   11.18
 35576.000,   11.23
 35576.042,   11.22
 35576.084,   11.17
 35576.126,   11.13
 35576.168,   11.14
 35576.210,   11.14
 35576.250,   11.11
 35576.292,   11.00
 35576.334,   10.98
 35576.376,   11.01
 35576.418,   11.14
 35576.458,   11.22
 35576.500,   11.28
 35576.543,   11.29
 35576.585,   11.26
 35576.627,   11.23
 35576.667,   11.20
 35576.709,   11.18
 35576.751,   11.19
 35576.793,   11.21
 35576.835,   11.22
 35576.877,   11.23
 35576.917,   11.24
 35576.959,   11.26
 35577.000,   11.28
 35577.042,   11.29
 35577.084,   11.29
 35577.125,   11.26
 35577.167,   11.23
 35577.209,   11.19
 35577.250,   11.19
 35577.292,   11.20
 35577.335,   11.22
 35577.376,   11.25
 35577.418,   11.29
 35577.460,   11.32
 35577.500,   11.32
 35577.542,   11.27
 35577.584,   11.24
 35577.626,   11.23
 35577.668,   11.17
 35577.710,   11.11
 35577.751,   11.10
 35577.793,   11.06
 35577.835,   11.05
 35577.875,   11.20
 35577.917,   11.37
 35577.959,   11.44
 35578.000,   11.43
 35578.042,   11.41
 35578.084,   11.45
 35578.127,   11.42
 35578.167,   11.35
 35578.209,   11.22
 35578.250,   11.12
 35578.292,   11.04
 35578.335,   11.07
 35578.377,   11.09
 35578.417,   11.13
 35578.459,   11.14
 35578.500,   11.13
 35578.543,   11.12
 35578.585,   11.21
 35578.627,   11.42
 35578.667,   11.58
 35578.709,   11.62
 35578.751,   11.64
 35578.793,   11.61
 35578.835,   11.56
 35578.877,   11.51
 35578.917,   11.50
 35578.959,   11.55
 35579.002,   11.60
 35579.042,   11.56
 35579.084,   11.44
 35579.126,   11.39
 35579.168,   11.34
 35579.208,   11.31
 35579.252,   11.16
 35579.292,   11.04
 35579.334,   11.00
 35579.376,   11.03
 35579.418,   11.16
 35579.460,   11.25
 35579.502,   11.37
 35579.542,   11.48
 35579.584,   11.53
 35579.626,   11.63
 35579.668,   11.61
 35579.710,   11.64
 35579.751,   11.62
 35579.792,   11.51
 35579.834,   11.39
 35579.876,   11.28
 35579.918,   11.29
 35579.959,   11.31
 35580.002,   11.33
 35580.042,   11.33
 35580.084,   11.32
 35580.127,   11.30
 35580.167,   11.30
 35580.209,   11.30
 35580.252,   11.28
 35580.292,   11.24
 35580.334,   11.21
 35580.375,   11.23
 35580.417,   11.30
 35580.459,   11.37
 35580.502,   11.40
 35580.542,   11.42
 35580.585,   11.52
 35580.627,   11.54
 35580.668,   11.50
 35580.710,   11.43
 35580.750,   11.39
 35580.793,   11.32
 35580.835,   11.21
 35580.876,   11.24
 35580.918,   11.27
 35580.960,   11.36
 35581.002,   11.44
 35581.042,   11.50
 35581.084,   11.53
 35581.125,   11.56
 35581.168,   11.50
 35581.210,   11.47
 35581.252,   11.42
 35581.292,   11.39
 35581.335,   11.36
 35581.376,   11.40
 35581.418,   11.40
 35581.459,   11.42
 35581.502,   11.43
 35581.543,   11.38
 35581.584,   11.40
 35581.626,   11.43
 35581.667,   11.43
 35581.709,   11.40
 35581.751,   11.35
 35581.792,   11.34
 35581.834,   11.37
 35581.876,   11.39
 35581.917,   11.41
 35581.959,   11.47
 35582.002,   11.52
 35582.042,   11.54
 35582.084,   11.53
 35582.127,   11.48
 35582.168,   11.43
 35582.210,   11.36
 35582.252,   11.29
 35582.292,   11.24
 35582.334,   11.22
 35582.376,   11.22
 35582.418,   11.25
 35582.458,   11.27
 35582.502,   11.33
 35582.542,   11.40
 35582.585,   11.45
 35582.625,   11.46
 35582.668,   11.42
 35582.709,   11.33
 35582.751,   11.28
 35582.793,   11.29
 35582.835,   11.33
 35582.875,   11.40
 35582.917,   11.51
 35582.959,   11.64
 35583.002,   11.70
 35583.042,   11.63
 35583.084,   11.51
 35583.126,   11.43
 35583.168,   11.34
 35583.209,   11.25
 35583.252,   11.12
 35583.292,   11.16
 35583.335,   11.37
 35583.376,   11.55
 35583.418,   11.67
 35583.460,   11.69
 35583.502,   11.63
 35583.543,   11.53
 35583.585,   11.43
 35583.627,   11.37
 35583.667,   11.36
 35583.709,   11.35
 35583.752,   11.34
 35583.792,   11.35
 35583.834,   11.41
 35583.876,   11.55
 35583.918,   11.74
 35583.958,   11.85
 35584.002,   11.82
 35584.042,   11.70
 35584.084,   11.54
 35584.126,   11.42
 35584.167,   11.36
 35584.210,   11.35
 35584.252,   11.37
 35584.292,   11.41
 35584.335,   11.47
 35584.376,   11.54
 35584.418,   11.61
 35584.460,   11.63
 35584.502,   11.51
 35584.543,   11.40
 35584.584,   11.30
 35584.627,   11.21
 35584.667,   11.18
 35584.709,   11.26
 35584.752,   11.33
 35584.792,   11.47
 35584.835,   11.67
 35584.877,   11.80
 35584.917,   11.80
 35584.960,   11.70
 35585.002,   11.57
 35585.042,   11.44
 35585.085,   11.26
 35585.127,   11.20
 35585.167,   11.27
 35585.210,   11.31
 35585.252,   11.39
 35585.292,   11.51
 35585.334,   11.62
 35585.377,   11.66
 35585.417,   11.64
 35585.459,   11.56
 35585.502,   11.47
 35585.542,   11.41
 35585.585,   11.37
 35585.627,   11.37
 35585.667,   11.42
 35585.709,   11.50
 35585.752,   11.60
 35585.792,   11.70
 35585.835,   11.75
 35585.877,   11.72
 35585.917,   11.64
 35585.959,   11.55
 35586.002,   11.41
 35586.042,   11.39
 35586.085,   11.40
 35586.126,   11.41
 35586.167,   11.42
 35586.210,   11.48
 35586.252,   11.48
 35586.292,   11.48
 35586.335,   11.46
 35586.376,   11.44
 35586.418,   11.43
 35586.459,   11.44
 35586.502,   11.50
 35586.544,   11.56
 35586.584,   11.59
 35586.627,   11.61
 35586.667,   11.64
 35586.710,   11.65
 35586.750,   11.59
 35586.793,   11.54
 35586.835,   11.59
 35586.875,   11.67
 35586.918,   11.72
 35586.958,   11.73
 35587.003,   11.73
 35587.043,   11.67
 35587.085,   11.59
 35587.126,   11.55
 35587.169,   11.56
 35587.209,   11.53
 35587.253,   11.49
 35587.293,   11.50
 35587.334,   11.56
 35587.376,   11.62
 35587.419,   11.62
 35587.459,   11.62
 35587.503,   11.63
 35587.544,   11.63
