$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:142.     

JDAY,T(C)
 35564.042,   11.29
 35564.086,   11.31
 35564.127,   11.32
 35564.170,   11.32
 35564.210,   11.33
 35564.250,   11.33
 35564.295,   11.34
 35564.337,   11.32
 35564.379,   11.29
 35564.420,   11.26
 35564.458,   11.25
 35564.500,   11.25
 35564.544,   11.25
 35564.587,   11.26
 35564.630,   11.26
 35564.670,   11.27
 35564.710,   11.31
 35564.753,   11.33
 35564.792,   11.35
 35564.836,   11.33
 35564.875,   11.34
 35564.919,   11.35
 35564.960,   11.35
 35565.000,   11.35
 35565.044,   11.38
 35565.086,   11.42
 35565.126,   11.42
 35565.170,   11.37
 35565.210,   11.32
 35565.250,   11.29
 35565.294,   11.27
 35565.335,   11.24
 35565.378,   11.21
 35565.418,   11.21
 35565.460,   11.22
 35565.500,   11.23
 35565.542,   11.24
 35565.586,   11.25
 35565.626,   11.26
 35565.668,   11.29
 35565.710,   11.32
 35565.753,   11.35
 35565.795,   11.34
 35565.835,   11.34
 35565.878,   11.39
 35565.919,   11.47
 35565.960,   11.52
 35566.000,   11.53
 35566.044,   11.48
 35566.084,   11.43
 35566.125,   11.38
 35566.170,   11.37
 35566.210,   11.37
 35566.250,   11.36
 35566.295,   11.35
 35566.333,   11.35
 35566.378,   11.36
 35566.417,   11.38
 35566.460,   11.42
 35566.500,   11.46
 35566.545,   11.47
 35566.584,   11.46
 35566.630,   11.46
 35566.670,   11.46
 35566.710,   11.42
 35566.753,   11.37
 35566.792,   11.36
 35566.836,   11.40
 35566.880,   11.46
 35566.918,   11.53
 35566.960,   11.63
 35567.000,   11.68
 35567.042,   11.70
 35567.083,   11.61
 35567.129,   11.47
 35567.170,   11.38
 35567.208,   11.30
 35567.250,   11.15
 35567.294,   11.13
 35567.334,   11.23
 35567.380,   11.36
 35567.417,   11.46
 35567.460,   11.50
 35567.500,   11.47
 35567.544,   11.39
 35567.584,   11.37
 35567.627,   11.36
 35567.670,   11.34
 35567.710,   11.33
 35567.751,   11.30
 35567.795,   11.28
 35567.837,   11.27
 35567.877,   11.29
 35567.920,   11.34
 35567.961,   11.41
 35568.000,   11.48
 35568.046,   11.47
 35568.087,   11.41
 35568.130,   11.33
