JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
 37716.046,   479.355,   170.729,    11.835,     0.000,     0.000,     0.000,     0.250,    78.229,  2072.430,     1.000,    10.134,  -167.709,     0.000,   275.227,   363.458,    51.867,    27.611,     0.000,
 37717.047,   595.083,   170.983,    12.102,     0.000,     0.000,     0.000,     0.250,    78.483,  2072.430,     1.000,    10.452,  -185.274,     0.000,   247.252,   364.825,    45.563,    22.138,     0.000,
 37718.047,   600.000,   171.180,    12.337,     0.000,     0.000,     0.000,     0.250,    78.680,  2072.430,     1.000,    10.543,  -151.676,     0.000,   262.301,   366.046,    36.922,    11.009,     0.000,
 37719.047,   528.299,   171.330,    12.494,     0.000,     0.000,     0.000,     0.250,    78.830,  2072.430,     1.000,    10.508,  -165.264,     0.000,   258.015,   366.854,    41.534,    14.891,     0.000,
 37720.047,   600.000,   171.420,    12.738,     0.000,     0.000,     0.000,     0.250,    78.920,  2072.430,     1.000,    10.605,  -137.618,     0.000,   278.174,   368.119,    44.609,     3.063,     0.000,
 37721.047,   600.000,   171.489,    12.986,     0.000,     0.000,     0.000,     0.250,    78.989,  2072.430,     1.000,    10.618,  -108.288,     0.000,   291.413,   369.407,    37.933,    -7.639,     0.000,
 37722.047,   600.000,   171.570,    13.392,     0.000,     0.000,     0.000,     0.250,    79.070,  2106.080,     1.000,    10.774,   -63.939,     0.000,   305.234,   371.550,    14.869,   -17.246,     0.000,
 37723.047,   600.000,   171.666,    13.821,     0.000,     0.000,     0.000,     0.250,    79.166,  2106.080,     1.000,    10.853,   -65.395,     0.000,   312.318,   373.813,    29.121,   -25.221,     0.000,
 37724.045,   397.356,   171.792,    14.089,     0.000,     0.000,     0.000,     0.250,    79.292,  2106.080,     1.000,    10.995,  -162.231,     0.000,   291.372,   375.157,    69.960,     8.486,     0.000,
 37725.044,   329.112,   171.968,    12.994,     0.000,     0.000,     0.000,     0.250,    79.468,  2106.080,     1.000,    10.928,  -162.664,     0.000,   289.285,   369.391,    52.072,    30.485,     0.000,
 37726.047,   600.000,   172.119,    13.062,     0.000,     0.000,     0.000,     0.250,    79.619,  2106.080,     1.000,    10.932,  -126.317,     0.000,   284.038,   369.755,    30.424,    10.177,     0.000,
 37727.047,   600.000,   172.205,    13.408,     0.000,     0.000,     0.000,     0.250,    79.705,  2106.080,     1.000,    10.942,   -79.000,     0.000,   311.325,   371.570,    22.643,    -3.887,     0.000,
 37728.047,   600.000,   172.266,    14.071,     0.000,     0.000,     0.000,     0.250,    79.766,  2106.080,     1.000,    11.065,   -81.193,     0.000,   298.785,   375.060,    10.184,    -5.266,     0.000,
 37729.047,   600.000,   172.333,    14.511,     0.000,     0.000,     0.000,     0.250,    79.833,  2106.080,     1.000,    11.175,   -59.595,     0.000,   309.116,   377.387,     3.193,   -11.870,     0.000,
 37730.042,   193.127,   172.385,    14.789,     0.000,     0.000,     0.000,     0.250,    79.885,  2106.080,     1.000,    11.240,   -73.882,     0.000,   313.817,   378.775,    23.317,   -14.393,     0.000,
