 JDAY =    36998.0417836533     
QIN:,15901.917055,.000000,.000000,.000000,
QTR:,.000000,.000000,.000000,
QDT:,147.061643,.000000,.000000,.000000,
QWD:,

SEG,BRANCH,ACTIVE,KT,WSE,SZ,Z,Q,QC,QERR,H2KT,H1KT,BHR1,BHR2,T1,T2,SUKT,UKT,AVHR,SELWS
32,1,A,144,159.831232,-1.580550,-1.331232,.000000,.000000,.000000,2.580550,2.331232,3472.533851,3862.103216,15.287077,15.287077,.000000,.000000,2.331232,160.080550
33,2,I,144,172.290000,-.790000,-.790000,.000000,.000000,.000000,1.000000,1.000000,10.000000,10.000000,.000000,.000000,.000000,.000000,1.000000,172.290000
34,2,I,144,172.290000,-8.264186,-8.155006,.000000,.000000,.000000,1.000000,9.155006,339.628495,22.622472,-259.414540,-259.414540,.000000,.000000,9.155006,172.290000
35,2,A,144,166.655006,-8.264186,-8.155006,56963.915700,56956.783117,.012521,9.264186,9.155006,1948.008629,1932.807347,15.051133,15.051133,18.009138,18.034422,18.811257,166.764186
36,2,A,144,185.241091,-26.508510,-26.741091,-214424.103794,-214431.508263,-.003453,27.508510,27.741091,9362.734111,9298.276194,14.040301,14.040301,-10.412361,-10.469536,24.711596,185.008510
37,2,A,144,179.182101,-20.566469,-20.682101,.000000,.000000,.000000,21.566469,21.682101,15388.874170,15295.617588,14.046100,14.046100,.000000,.000000,21.682101,179.066469
38,3,I,144,172.290000,-23.980694,-24.169718,.000000,.000000,.000000,24.980694,25.169718,7307.526943,7229.464941,-259.414540,-259.414540,.000000,.000000,25.169718,172.290000
39,3,A,144,182.669718,-23.980694,-24.169718,-572402.920000,-572413.051811,-.001770,24.980694,25.169718,7395.726029,7365.233418,14.388323,14.388323,-56.898151,-57.417490,19.640237,182.480694
40,3,A,144,171.610756,-13.138280,-13.110756,-447192.444888,-447192.431666,.000003,14.138280,14.110756,7147.913597,7154.413895,14.393530,14.393530,-21.942860,-22.152612,14.360825,171.638280
41,3,A,144,172.099614,-13.592510,-13.599614,-472392.892640,-472393.006698,-.000024,14.592510,14.599614,12077.999455,12085.199586,14.426031,14.426031,-10.291460,-10.399716,14.917880,172.092510
42,3,A,144,172.736147,-14.250970,-14.236147,.000000,.000000,.000000,15.250970,15.236147,17328.938555,17346.937870,14.472830,14.472830,.000000,.000000,15.236147,172.750970
43,4,I,144,172.290000,-26.326477,3124.204019,.000000,.000000,.000000,27.326477,-3123.204019,-31232.040193,7526.913634,-259.414540,-259.414540,.000000,.000000,-3123.204019,172.290000
44,4,A,144,-2965.704019,-26.326477,3124.204019,241783904.719238,239607852.558762,.899999,27.326477,-3123.204019,3498.541146,10851.622698,26.096633,26.096633,-78.076711,-224.722760,-1693.491320,184.826477
45,4,A,144,232.277902,-30.330630,-73.777902,-1156311.637519,-1159347.665463,-.262561,31.330630,74.777902,30531.210212,14916.868706,13.122101,13.122101,-81.407865,-40.167246,41.431149,188.830630
46,4,A,144,165.584397,-7.221134,-7.084397,.000000,.000000,.000000,8.221134,8.084397,14609.082795,14870.113253,14.872243,14.872243,.000000,.000000,8.084397,165.721134
