JDAY,SEG   2,SEG   3,SEG   4,SEG   5,SEG   6,SEG   7,SEG   8,SEG   9,SEG  10,SEG  11,SEG  12,SEG  13,SEG  14,SEG  15,SEG  16,SEG  17,SEG  18,SEG  19,SEG  20,SEG  21,SEG  22,SEG  23,SEG  24,SEG  25,SEG  26,SEG  27,SEG  28,SEG  29,SEG  30,SEG  31,SEG  34,SEG  35,SEG  36,SEG  39,SEG  40,SEG  41,SEG  44,SEG  45,SEG
 35551.046, 162.760, 162.760, 162.760, 163.316, 160.081, 160.089, 160.090, 160.091, 160.093, 160.094, 160.094, 160.094, 160.094, 160.094, 160.095, 160.095, 160.096, 160.096, 160.096, 160.097, 160.097, 160.097, 160.097, 160.097, 160.097, 160.097, 160.097, 160.097, 160.097, 160.097, 162.760, 160.097, 160.097, 160.097, 160.097, 160.097, 160.097, 160.097,
 35552.047, 162.760, 162.760, 162.760, 163.316, 159.780, 159.784, 159.785, 159.786, 159.787, 159.788, 159.788, 159.788, 159.788, 159.789, 159.789, 159.790, 159.790, 159.791, 159.791, 159.791, 159.791, 159.792, 159.792, 159.792, 159.791, 159.791, 159.791, 159.791, 159.791, 159.791, 162.760, 159.791, 159.791, 159.791, 159.791, 159.791, 159.791, 159.791,
 35553.047, 162.760, 162.760, 162.760, 163.316, 159.460, 159.465, 159.466, 159.467, 159.468, 159.469, 159.469, 159.469, 159.469, 159.470, 159.471, 159.471, 159.472, 159.473, 159.473, 159.473, 159.473, 159.473, 159.474, 159.473, 159.473, 159.473, 159.473, 159.473, 159.473, 159.473, 162.760, 159.473, 159.473, 159.473, 159.473, 159.473, 159.473, 159.473,
 35554.047, 162.760, 162.760, 162.760, 163.316, 159.212, 159.219, 159.220, 159.221, 159.222, 159.223, 159.223, 159.223, 159.224, 159.224, 159.225, 159.225, 159.226, 159.227, 159.227, 159.227, 159.227, 159.227, 159.227, 159.227, 159.227, 159.227, 159.227, 159.227, 159.227, 159.227, 162.760, 159.227, 159.227, 159.227, 159.227, 159.227, 159.227, 159.227,
 35555.047, 162.760, 162.760, 162.760, 163.316, 158.998, 159.004, 159.006, 159.006, 159.008, 159.009, 159.009, 159.009, 159.010, 159.010, 159.011, 159.011, 159.012, 159.012, 159.013, 159.013, 159.013, 159.013, 159.014, 159.014, 159.014, 159.014, 159.013, 159.013, 159.013, 159.013, 162.760, 159.013, 159.013, 159.014, 159.014, 159.014, 159.013, 159.013,
 35556.047, 162.760, 162.760, 162.760, 163.316, 158.757, 158.763, 158.767, 158.768, 158.769, 158.770, 158.770, 158.770, 158.770, 158.770, 158.771, 158.772, 158.772, 158.773, 158.773, 158.773, 158.773, 158.773, 158.773, 158.773, 158.773, 158.773, 158.773, 158.773, 158.772, 158.772, 162.760, 158.773, 158.773, 158.773, 158.773, 158.773, 158.773, 158.773,
 35557.044, 162.760, 162.760, 162.760, 163.316, 158.559, 158.565, 158.569, 158.569, 158.570, 158.572, 158.572, 158.573, 158.573, 158.574, 158.574, 158.575, 158.575, 158.575, 158.576, 158.577, 158.576, 158.577, 158.577, 158.577, 158.577, 158.577, 158.577, 158.577, 158.577, 158.577, 162.760, 158.577, 158.577, 158.577, 158.577, 158.577, 158.577, 158.577,
 35558.044, 162.760, 162.760, 162.760, 163.316, 158.439, 158.447, 158.452, 158.453, 158.453, 158.455, 158.455, 158.456, 158.456, 158.457, 158.457, 158.458, 158.458, 158.459, 158.459, 158.460, 158.460, 158.460, 158.460, 158.460, 158.460, 158.460, 158.460, 158.459, 158.460, 158.460, 162.760, 158.460, 158.460, 158.460, 158.459, 158.460, 158.460, 158.460,
 35559.044, 162.760, 162.760, 162.760, 163.316, 158.459, 158.471, 158.476, 158.476, 158.476, 158.478, 158.479, 158.479, 158.480, 158.480, 158.480, 158.481, 158.481, 158.482, 158.483, 158.484, 158.483, 158.484, 158.483, 158.483, 158.483, 158.483, 158.483, 158.483, 158.484, 158.484, 162.760, 158.484, 158.484, 158.484, 158.484, 158.484, 158.483, 158.483,
 35560.044, 162.760, 162.760, 162.760, 163.316, 158.699, 158.705, 158.710, 158.710, 158.711, 158.712, 158.713, 158.713, 158.713, 158.714, 158.714, 158.715, 158.716, 158.716, 158.717, 158.718, 158.718, 158.718, 158.718, 158.718, 158.718, 158.718, 158.718, 158.718, 158.718, 158.718, 162.760, 158.718, 158.718, 158.718, 158.718, 158.718, 158.718, 158.718,
 35561.044, 162.760, 162.760, 162.760, 163.316, 159.053, 159.058, 159.061, 159.061, 159.061, 159.062, 159.063, 159.063, 159.063, 159.064, 159.064, 159.065, 159.065, 159.066, 159.068, 159.068, 159.068, 159.068, 159.068, 159.068, 159.068, 159.068, 159.068, 159.068, 159.068, 159.068, 162.760, 159.068, 159.068, 159.068, 159.069, 159.068, 159.068, 159.068,
 35562.046, 162.760, 162.760, 162.760, 163.316, 159.376, 159.384, 159.386, 159.386, 159.386, 159.387, 159.387, 159.388, 159.388, 159.389, 159.389, 159.390, 159.390, 159.392, 159.393, 159.393, 159.393, 159.393, 159.393, 159.393, 159.393, 159.393, 159.393, 159.393, 159.393, 159.393, 162.760, 159.393, 159.393, 159.393, 159.393, 159.393, 159.393, 159.393,
 35563.047, 162.760, 162.760, 162.760, 163.316, 159.609, 159.616, 159.617, 159.617, 159.618, 159.618, 159.619, 159.619, 159.620, 159.620, 159.621, 159.622, 159.622, 159.624, 159.625, 159.625, 159.625, 159.625, 159.625, 159.625, 159.625, 159.625, 159.625, 159.624, 159.624, 159.624, 162.760, 159.625, 159.625, 159.626, 159.625, 159.625, 159.625, 159.625,
 35564.045, 162.760, 162.760, 162.760, 163.316, 159.783, 159.789, 159.791, 159.791, 159.792, 159.793, 159.793, 159.794, 159.794, 159.795, 159.796, 159.797, 159.797, 159.798, 159.799, 159.799, 159.799, 159.799, 159.799, 159.800, 159.800, 159.799, 159.799, 159.799, 159.799, 159.799, 162.760, 159.799, 159.799, 159.800, 159.800, 159.800, 159.799, 159.799,
