$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:117.     

JDAY,QWD(m3s-1)
 37630.042,   12.0900
 37630.086,   12.0900
 37630.126,   12.0900
 37630.170,   12.0900
 37630.210,   12.0900
 37630.250,   12.0900
 37630.292,   12.0900
 37630.334,   12.0900
 37630.375,   12.0900
 37630.417,   12.0900
 37630.459,   12.0900
 37630.500,   12.0900
 37630.542,   12.0900
 37630.584,   12.0900
 37630.625,   12.0900
 37630.668,   12.0900
 37630.710,   12.0900
 37630.750,   12.0900
 37630.792,   12.0900
 37630.834,   12.0900
 37630.876,   12.0900
 37630.917,   12.0900
 37630.959,   12.0900
 37631.000,   12.0900
 37631.042,   12.0900
 37631.084,   12.0900
 37631.125,   12.0900
 37631.167,   12.0900
 37631.208,   12.0900
 37631.250,   12.0900
 37631.292,   12.0900
 37631.334,   12.0900
 37631.376,   12.0900
 37631.417,   12.0900
 37631.459,   12.0900
 37631.500,   12.0900
 37631.542,   12.0900
 37631.584,   12.0900
 37631.625,   12.0900
 37631.667,   12.0900
 37631.709,   12.0900
 37631.750,   12.0900
 37631.793,   12.0900
 37631.834,   12.0900
 37631.875,   12.0900
 37631.917,   12.0900
 37631.959,   12.0900
 37632.000,   12.0900
 37632.042,   12.0900
 37632.084,   12.0900
 37632.125,   12.0900
 37632.167,   12.0900
 37632.209,   12.0900
 37632.250,   12.0900
 37632.292,   12.0900
 37632.333,   12.0900
 37632.375,   12.0900
 37632.417,   12.0900
 37632.459,   12.0900
 37632.500,   12.0900
 37632.542,   12.0900
 37632.584,   12.0900
 37632.625,   12.0900
 37632.667,   12.0900
 37632.709,   12.0900
 37632.750,   12.0900
 37632.792,   12.0900
 37632.833,   12.0900
 37632.875,   12.0900
 37632.917,   12.0900
 37632.959,   12.0900
 37633.000,   12.0900
 37633.042,   12.0900
 37633.083,   12.0900
 37633.125,   12.0900
 37633.167,   12.0900
 37633.209,   12.0900
 37633.250,   12.0900
 37633.292,   12.0900
 37633.334,   12.0900
 37633.375,   12.0900
 37633.417,   12.0900
 37633.459,   12.0900
 37633.500,   12.0900
 37633.542,   12.0900
 37633.584,   12.0900
 37633.625,   12.0900
 37633.667,   12.0900
 37633.709,   12.0900
 37633.750,   12.0900
 37633.792,   12.0900
 37633.834,   12.0900
 37633.875,   12.0900
 37633.917,   12.0900
 37633.959,   12.0900
 37634.000,   12.0900
 37634.042,   12.0900
 37634.084,   12.0900
 37634.125,   12.0900
 37634.167,   12.0900
 37634.209,   12.0900
 37634.250,   12.0900
 37634.292,   12.0900
 37634.334,   12.0900
 37634.375,   12.0900
 37634.417,   12.0900
 37634.459,   12.0900
 37634.500,   12.0900
 37634.542,   12.0900
 37634.584,   12.0900
 37634.626,   12.0900
 37634.668,   12.0900
 37634.710,   12.0900
 37634.750,   12.0900
 37634.796,   12.0900
 37634.836,   12.0900
 37634.880,   12.0900
 37634.919,   12.0900
 37634.959,   12.0900
 37635.000,   12.0900
 37635.045,   12.0900
 37635.086,   12.0900
 37635.126,   12.0900
 37635.167,   12.0900
 37635.209,   12.0900
 37635.250,   12.0900
 37635.292,   12.0900
 37635.334,   12.0900
 37635.375,   12.0900
 37635.417,   12.0900
