 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
 37660.042,   1,  0.11988982E+09,   0.00000000E+00,  -0.49938484E+08,   0.00000000E+00,   0.00000000E+00,  -0.13443941E+07,   0.00000000E+00,   0.00000000E+00,   0.16832671E-10,
 37661.047,   1,  0.12475875E+09,   0.00000000E+00,  -0.52174184E+08,   0.00000000E+00,   0.00000000E+00,  -0.13704521E+07,   0.00000000E+00,   0.00000000E+00,   0.14856102E-10,
 37662.046,   1,  0.12911838E+09,   0.00000000E+00,  -0.54515501E+08,   0.00000000E+00,   0.00000000E+00,  -0.13974606E+07,   0.00000000E+00,   0.00000000E+00,   0.14309642E-10,
 37663.047,   1,  0.13277207E+09,   0.00000000E+00,  -0.56736365E+08,   0.00000000E+00,   0.00000000E+00,  -0.14272586E+07,   0.00000000E+00,   0.00000000E+00,   0.15778128E-10,
 37664.047,   1,  0.13668020E+09,   0.00000000E+00,  -0.58928873E+08,   0.00000000E+00,   0.00000000E+00,  -0.14534471E+07,   0.00000000E+00,   0.00000000E+00,   0.16366114E-10,
 37665.043,   1,  0.14133397E+09,   0.00000000E+00,  -0.61173455E+08,   0.00000000E+00,   0.00000000E+00,  -0.14814942E+07,   0.00000000E+00,   0.00000000E+00,   0.15037613E-10,
 37666.043,   1,  0.14575565E+09,   0.00000000E+00,  -0.63430710E+08,   0.00000000E+00,   0.00000000E+00,  -0.15109104E+07,   0.00000000E+00,   0.00000000E+00,   0.14880064E-10,
 37667.043,   1,  0.14969880E+09,   0.00000000E+00,  -0.65647108E+08,   0.00000000E+00,   0.00000000E+00,  -0.15303330E+07,   0.00000000E+00,   0.00000000E+00,   0.14048530E-10,
 37668.043,   1,  0.15435547E+09,   0.00000000E+00,  -0.67723114E+08,   0.00000000E+00,   0.00000000E+00,  -0.15433552E+07,   0.00000000E+00,   0.00000000E+00,   0.13116700E-10,
 37669.043,   1,  0.15929347E+09,   0.00000000E+00,  -0.69693469E+08,   0.00000000E+00,   0.00000000E+00,  -0.16743482E+07,   0.00000000E+00,   0.00000000E+00,   0.11100546E-10,
 37670.042,   1,  0.16527289E+09,   0.00000000E+00,  -0.71604008E+08,   0.00000000E+00,   0.00000000E+00,  -0.18203956E+07,   0.00000000E+00,   0.00000000E+00,   0.11226665E-10,
 37671.042,   1,  0.17268840E+09,   0.00000000E+00,  -0.73542241E+08,   0.00000000E+00,   0.00000000E+00,  -0.18708929E+07,   0.00000000E+00,   0.00000000E+00,   0.10324609E-10,
 37672.044,   1,  0.17950951E+09,   0.00000000E+00,  -0.75721618E+08,   0.00000000E+00,   0.00000000E+00,  -0.19040308E+07,   0.00000000E+00,   0.00000000E+00,   0.93456706E-11,
 37673.045,   1,  0.18526690E+09,   0.00000000E+00,  -0.78220910E+08,   0.00000000E+00,   0.00000000E+00,  -0.19410026E+07,   0.00000000E+00,   0.00000000E+00,   0.98815446E-11,
 37674.046,   1,  0.19092914E+09,   0.00000000E+00,  -0.80876671E+08,   0.00000000E+00,   0.00000000E+00,  -0.19714192E+07,   0.00000000E+00,   0.00000000E+00,   0.97059508E-11,
 37675.047,   1,  0.19506421E+09,   0.00000000E+00,  -0.83518027E+08,   0.00000000E+00,   0.00000000E+00,  -0.20052552E+07,   0.00000000E+00,   0.00000000E+00,   0.97807565E-11,
 37676.047,   1,  0.19761096E+09,   0.00000000E+00,  -0.86209122E+08,   0.00000000E+00,   0.00000000E+00,  -0.20499410E+07,   0.00000000E+00,   0.00000000E+00,   0.97568038E-11,
 37677.047,   1,  0.20090909E+09,   0.00000000E+00,  -0.89193691E+08,   0.00000000E+00,   0.00000000E+00,  -0.20866477E+07,   0.00000000E+00,   0.00000000E+00,   0.99903594E-11,
 37678.047,   1,  0.20519186E+09,   0.00000000E+00,  -0.92560577E+08,   0.00000000E+00,   0.00000000E+00,  -0.21222726E+07,   0.00000000E+00,   0.00000000E+00,   0.10018650E-10,
 37679.046,   1,  0.21032746E+09,   0.00000000E+00,  -0.96160446E+08,   0.00000000E+00,   0.00000000E+00,  -0.21613373E+07,   0.00000000E+00,   0.00000000E+00,   0.95521422E-11,
 37680.047,   1,  0.21572833E+09,   0.00000000E+00,  -0.99756442E+08,   0.00000000E+00,   0.00000000E+00,  -0.22046946E+07,   0.00000000E+00,   0.00000000E+00,   0.93125672E-11,
 37681.044,   1,  0.22054301E+09,   0.00000000E+00,  -0.10314387E+09,   0.00000000E+00,   0.00000000E+00,  -0.22466945E+07,   0.00000000E+00,   0.00000000E+00,   0.87864808E-11,
 37682.046,   1,  0.22665684E+09,   0.00000000E+00,  -0.10631243E+09,   0.00000000E+00,   0.00000000E+00,  -0.22697834E+07,   0.00000000E+00,   0.00000000E+00,   0.10259988E-10,
