$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:117.     

JDAY,T(C)
 35564.042,    9.16
 35564.086,    9.17
 35564.127,    9.17
 35564.170,    9.17
 35564.210,    9.17
 35564.250,    9.17
 35564.295,    9.17
 35564.337,    9.17
 35564.379,    9.16
 35564.420,    9.16
 35564.458,    9.16
 35564.500,    9.16
 35564.544,    9.16
 35564.587,    9.17
 35564.630,    9.17
 35564.670,    9.17
 35564.710,    9.17
 35564.753,    9.17
 35564.792,    9.18
 35564.836,    9.17
 35564.875,    9.17
 35564.919,    9.17
 35564.960,    9.17
 35565.000,    9.17
 35565.044,    9.17
 35565.086,    9.17
 35565.126,    9.17
 35565.170,    9.17
 35565.210,    9.16
 35565.250,    9.16
 35565.294,    9.16
 35565.335,    9.15
 35565.378,    9.15
 35565.418,    9.15
 35565.460,    9.15
 35565.500,    9.16
 35565.542,    9.16
 35565.586,    9.16
 35565.626,    9.17
 35565.668,    9.17
 35565.710,    9.18
 35565.753,    9.19
 35565.795,    9.19
 35565.835,    9.19
 35565.878,    9.20
 35565.919,    9.21
 35565.960,    9.22
 35566.000,    9.21
 35566.044,    9.20
 35566.084,    9.19
 35566.125,    9.19
 35566.170,    9.18
 35566.210,    9.18
 35566.250,    9.18
 35566.295,    9.18
 35566.333,    9.18
 35566.378,    9.18
 35566.417,    9.19
 35566.460,    9.19
 35566.500,    9.20
 35566.545,    9.20
 35566.584,    9.20
 35566.630,    9.20
 35566.670,    9.20
 35566.710,    9.19
 35566.753,    9.18
 35566.792,    9.18
 35566.836,    9.18
 35566.880,    9.18
 35566.918,    9.18
 35566.960,    9.19
 35567.000,    9.20
 35567.042,    9.19
 35567.083,    9.17
 35567.129,    9.16
 35567.170,    9.15
 35567.208,    9.14
 35567.250,    9.13
 35567.294,    9.14
 35567.334,    9.15
 35567.380,    9.17
 35567.417,    9.19
 35567.460,    9.19
 35567.500,    9.19
 35567.544,    9.19
 35567.584,    9.19
 35567.627,    9.19
 35567.670,    9.19
 35567.710,    9.20
 35567.751,    9.20
 35567.795,    9.20
 35567.837,    9.20
 35567.877,    9.21
 35567.920,    9.22
 35567.961,    9.24
 35568.000,    9.25
 35568.046,    9.25
 35568.087,    9.22
 35568.130,    9.20
 35568.169,    9.18
 35568.210,    9.17
 35568.250,    9.17
 35568.295,    9.17
 35568.337,    9.18
 35568.376,    9.18
 35568.420,    9.19
 35568.460,    9.19
 35568.500,    9.20
 35568.545,    9.20
 35568.587,    9.21
 35568.626,    9.20
 35568.667,    9.19
 35568.709,    9.18
 35568.750,    9.17
 35568.792,    9.18
 35568.833,    9.20
 35568.876,    9.21
 35568.919,    9.22
 35568.959,    9.22
 35569.000,    9.20
 35569.044,    9.18
 35569.085,    9.17
 35569.127,    9.16
 35569.168,    9.16
 35569.209,    9.16
 35569.250,    9.18
 35569.292,    9.20
 35569.335,    9.24
 35569.376,    9.27
 35569.417,    9.28
 35569.459,    9.27
 35569.500,    9.26
 35569.542,    9.25
 35569.585,    9.24
 35569.626,    9.23
 35569.668,    9.22
 35569.710,    9.21
 35569.752,    9.21
 35569.792,    9.21
 35569.834,    9.22
 35569.876,    9.24
 35569.918,    9.27
 35569.959,    9.27
 35570.000,    9.26
 35570.042,    9.23
 35570.084,    9.22
 35570.126,    9.22
 35570.169,    9.23
 35570.209,    9.24
 35570.250,    9.25
 35570.292,    9.26
 35570.334,    9.26
 35570.376,    9.26
 35570.418,    9.26
 35570.459,    9.25
 35570.500,    9.25
 35570.542,    9.25
 35570.585,    9.23
 35570.626,    9.22
 35570.668,    9.21
 35570.710,    9.21
 35570.750,    9.20
 35570.792,    9.19
 35570.834,    9.19
 35570.875,    9.19
 35570.917,    9.19
 35570.960,    9.20
 35571.000,    9.20
 35571.042,    9.21
 35571.084,    9.22
 35571.125,    9.23
 35571.167,    9.23
 35571.208,    9.23
 35571.250,    9.24
 35571.292,    9.24
 35571.334,    9.24
 35571.375,    9.24
 35571.418,    9.24
 35571.460,    9.24
 35571.500,    9.24
 35571.544,    9.24
 35571.585,    9.25
 35571.626,    9.27
 35571.668,    9.28
 35571.710,    9.29
 35571.750,    9.29
 35571.793,    9.28
 35571.834,    9.27
 35571.875,    9.28
 35571.918,    9.28
 35571.960,    9.27
 35572.000,    9.27
 35572.042,    9.27
 35572.084,    9.27
 35572.126,    9.26
 35572.168,    9.25
 35572.210,    9.24
 35572.250,    9.23
 35572.292,    9.21
 35572.334,    9.19
 35572.375,    9.19
 35572.417,    9.19
 35572.460,    9.19
 35572.500,    9.19
 35572.542,    9.19
 35572.584,    9.20
 35572.625,    9.21
