Elev_m,Temp_C,TDS_mgl,DO_mgl
162.7632,24.173,36,8.8
161.2392,24.094,36,8.9
158.1912,24.072,36,9.08
155.1432,23.583,33,9.18
150.5712,20.117,28,9.6
145.9992,17.164,27,9.05
141.4272,16.272,28,8.7
136.8552,15.148,30,8.03
127.7112,14.06,32,7.84
118.5672,12.627,33,7.88
109.4232,11.652,35,8.15
100.2792,10.373,39,7.35
96.426528,9.742,41,6.8
